segment,window_index,window_start_sec,window_end_sec,whole_rho_mean,cluster467_rho_mean
main_meditation,100,500,530,0.49373001797303184,0.6506155621371542
main_meditation,101,505,535,0.49509476714642014,0.6583155964504732
main_meditation,102,510,540,0.538467299033996,0.6650286259207968
main_meditation,103,515,545,0.6096362587354072,0.7143431628876334
main_meditation,104,520,550,0.6060905623547631,0.7739198189087356
main_meditation,105,525,555,0.6422308536403707,0.7792455822451861
main_meditation,106,530,560,0.6142196825040841,0.7530124103465795
main_meditation,107,535,565,0.6042659212898126,0.7656481684979305
main_meditation,108,540,570,0.5508631364536271,0.733495334033583
main_meditation,109,545,575,0.49211013955432104,0.7020442232142242
main_meditation,110,550,580,0.4662072524531508,0.6436803312964332
main_meditation,111,555,585,0.41662718717109587,0.6795325775297495
main_meditation,112,560,590,0.389146618049444,0.6459599331102572
main_meditation,113,565,595,0.45289276000597933,0.5598717777321887
main_meditation,114,570,600,0.4399144796712721,0.6678595062929361
main_meditation,115,575,605,0.4282478738929539,0.7131255052389304
main_meditation,116,580,610,0.4021752360292516,0.7392412917483925
main_meditation,117,585,615,0.4286794283338194,0.7557927696629889
main_meditation,118,590,620,0.42852069849167335,0.8529525687416507
main_meditation,119,595,625,0.4794407649802485,0.8192039536345274
main_meditation,120,600,630,0.4383720693975667,0.622220073894233
main_meditation,121,605,635,0.3528861377585202,0.5910043513478551
main_meditation,122,610,640,0.40801737854398795,0.6719022716136126
main_meditation,123,615,645,0.5184140074139303,0.7755323817622733
main_meditation,124,620,650,0.570084154425665,0.7496898183784544
main_meditation,125,625,655,0.5495522581159039,0.7881479115238115
main_meditation,126,630,660,0.5603388093159073,0.8001856638467992
main_meditation,127,635,665,0.5433232159633195,0.755000258244113
main_meditation,128,640,670,0.5134525178016449,0.7173255161907269
main_meditation,129,645,675,0.5201232504175357,0.6550702294198438
main_meditation,130,650,680,0.5104453597058034,0.7025656336984347
main_meditation,131,655,685,0.5269366303452403,0.7118695830554239
main_meditation,132,660,690,0.485732377009357,0.6653882661340301
main_meditation,133,665,695,0.5065062392760686,0.6372404840892615
main_meditation,134,670,700,0.4733773381158304,0.6694662147925814
main_meditation,135,675,705,0.4742526768007696,0.6264639345298904
main_meditation,136,680,710,0.41291556373372446,0.5867187999163884
main_meditation,137,685,715,0.44082572259123753,0.5476571265353882
main_meditation,138,690,720,0.501571079125714,0.6179972116719671
main_meditation,139,695,725,0.38029902971837604,0.6140003899933444
main_meditation,140,700,730,0.46666500340505707,0.6032936181230035
main_meditation,141,705,735,0.45681826010987536,0.6315187129523354
main_meditation,142,710,740,0.46593349726731714,0.6572468740347794
main_meditation,143,715,745,0.40005666494139264,0.6007350168300188
main_meditation,144,720,750,0.3841702328322318,0.5410364702388246
recovery,0,0,30,0.4152119699730801,0.547192303751531
recovery,1,5,35,0.4008788626538798,0.5424565463849703
recovery,2,10,40,0.42679834080467827,0.5428033801499011
recovery,3,15,45,0.48891205483814865,0.5552094452436579
recovery,4,20,50,0.46681623029440955,0.4985387500212662
recovery,5,25,55,0.47167080585132,0.5410500298120926
recovery,6,30,60,0.4587467569804852,0.559027646072549
recovery,7,35,65,0.5637952875560326,0.584443882117245
recovery,8,40,70,0.46159233829352064,0.4894988325284756
recovery,9,45,75,0.5597449645205617,0.5715353857098499
recovery,10,50,80,0.5563154345768913,0.5744150445257415
recovery,11,55,85,0.6414824634128041,0.7399427462909148
recovery,12,60,90,0.6361958049781303,0.8365881205783023
