emotibit_id,segment,channel,n,n_nan,mean,std,min,max,range,diff_std,outlier_frac_abs_z_gt_5
EmotiBit_6,pre_meditation,PPG_1,24195,0,165615.9499070056,891.0026568668592,156883.0,167963.0,11080.0,36.45337918476397,0.006902252531514776
EmotiBit_6,pre_meditation,PPG_2,24195,0,91524.40632362058,806.860638393328,88661.0,92788.0,4127.0,25.373035785647772,0.0
EmotiBit_6,pre_meditation,PPG_3,24195,0,5197.083818970862,241.36264677518574,4208.0,5970.0,1762.0,23.040118937071163,0.0
EmotiBit_6,main_meditation,PPG_1,74683,0,168346.36517011904,749.2670775519325,165919.0,170235.0,4316.0,30.563795684059645,0.0
EmotiBit_6,main_meditation,PPG_2,74683,0,94358.01223839428,839.9067016010617,92551.0,95812.0,3261.0,24.35457482178294,0.0
EmotiBit_6,main_meditation,PPG_3,74683,0,5296.3124673620505,211.52526701059415,4669.0,5858.0,1189.0,23.012410724811883,0.0
EmotiBit_6,recovery,PPG_1,9394,0,166824.22908239302,1776.2443738053812,157391.0,169467.0,12076.0,44.71326468786666,0.011283798169044072
EmotiBit_6,recovery,PPG_2,9394,0,94861.3965296998,574.5518531974757,91611.0,95716.0,4105.0,27.457741176837217,0.00936768149882904
EmotiBit_6,recovery,PPG_3,9394,0,4810.427400468384,369.8501144987134,3786.0,5511.0,1725.0,23.583520190650102,0.0
EmotiBit_7,pre_meditation,PPG_1,24404,0,184649.40493361745,611.0671013848928,183556.0,186097.0,2541.0,29.335137064305627,0.0
EmotiBit_7,pre_meditation,PPG_2,24404,0,157798.45631863628,1060.0991153378511,155557.0,159495.0,3938.0,25.55614897678253,0.0
EmotiBit_7,pre_meditation,PPG_3,24404,0,10754.762784789378,283.30367489300545,10084.0,12374.0,2290.0,23.581564926641047,0.010981806261268644
EmotiBit_7,main_meditation,PPG_1,75326,0,187007.61444919417,900.2206719883432,185433.0,189247.0,3814.0,29.104382721236743,0.0
EmotiBit_7,main_meditation,PPG_2,75326,0,161218.03121100285,939.6907375176396,11766.0,187932.0,176166.0,786.2424182448958,2.6551257202028515e-05
EmotiBit_7,main_meditation,PPG_3,75326,0,11265.876390622096,382.5766519522988,10475.0,13015.0,2540.0,23.87180855867013,0.003026843321031251
EmotiBit_7,recovery,PPG_1,9476,0,187099.13043478262,722.672512292734,186182.0,188998.0,2816.0,28.763895159562708,0.0
EmotiBit_7,recovery,PPG_2,9476,0,161801.62758547912,170.73344771222546,161506.0,162414.0,908.0,25.63574216958378,0.005276487969607429
EmotiBit_7,recovery,PPG_3,9476,0,11416.243351625159,282.7353240930301,10958.0,12695.0,1737.0,23.93807110960619,0.0297593921485859
