LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1201957.621431,1201957.621432,1760631887.344963,83498.091,11051,11,PR,1,100,112310
1201957.631067,1201957.631068,1760631887.354599,83507.727,11051,11,PR,1,100,112306
1201957.640704,1201957.640704,1760631887.364236,83517.364,11051,11,PR,1,100,112322
1201957.650340,1201957.650340,1760631887.373872,83527.000,11051,11,PR,1,100,112310
1201957.660785,1201957.660785,1760631887.384316,83537.444,11066,9,PR,1,100,112329
1201957.671229,1201957.671229,1760631887.394761,83547.889,11066,9,PR,1,100,112320
1201957.681673,1201957.681674,1760631887.405205,83558.333,11066,9,PR,1,100,112317
1201957.692118,1201957.692118,1760631887.415650,83568.778,11066,9,PR,1,100,112315
1201957.702562,1201957.702562,1760631887.426094,83579.222,11066,9,PR,1,100,112346
1201957.713006,1201957.713007,1760631887.436538,83589.667,11066,9,PR,1,100,112318
1201957.723451,1201957.723451,1760631887.446983,83600.111,11066,9,PR,1,100,112356
1201957.733895,1201957.733896,1760631887.457427,83610.556,11066,9,PR,1,100,112317
1201957.744340,1201957.744340,1760631887.467872,83621.000,11066,9,PR,1,100,112285
1201957.753976,1201957.753976,1760631887.477508,83630.636,11083,11,PR,1,100,112291
1201957.763612,1201957.763613,1760631887.487144,83640.273,11083,11,PR,1,100,112301
1201957.773249,1201957.773249,1760631887.496781,83649.909,11083,11,PR,1,100,112293
1201957.782885,1201957.782885,1760631887.506417,83659.545,11083,11,PR,1,100,112308
1201957.792521,1201957.792522,1760631887.516053,83669.182,11083,11,PR,1,100,112289
1201957.802158,1201957.802158,1760631887.525690,83678.818,11083,11,PR,1,100,112315
1201957.811794,1201957.811794,1760631887.535326,83688.455,11083,11,PR,1,100,112306
1201957.821430,1201957.821430,1760631887.544962,83698.091,11083,11,PR,1,100,112302
1201957.831066,1201957.831067,1760631887.554599,83707.727,11083,11,PR,1,100,112303
1201957.840703,1201957.840703,1760631887.564235,83717.364,11083,11,PR,1,100,112315
1201957.850339,1201957.850339,1760631887.573871,83727.000,11083,11,PR,1,100,112322
1201957.861039,1201957.861039,1760631887.584571,83737.700,11098,10,PR,1,100,112303
1201957.871739,1201957.871739,1760631887.595271,83748.400,11098,10,PR,1,100,112287
1201957.882439,1201957.882439,1760631887.605971,83759.100,11098,10,PR,1,100,112326
1201957.893139,1201957.893139,1760631887.616671,83769.800,11098,10,PR,1,100,112309
1201957.903839,1201957.903839,1760631887.627371,83780.500,11098,10,PR,1,100,112288
1201957.914539,1201957.914539,1760631887.638071,83791.200,11098,10,PR,1,100,112292
1201957.925239,1201957.925239,1760631887.648771,83801.900,11098,10,PR,1,100,112303
1201957.935939,1201957.935939,1760631887.659471,83812.600,11098,10,PR,1,100,112334
1201957.946639,1201957.946639,1760631887.670171,83823.300,11098,10,PR,1,100,112317
1201957.957339,1201957.957339,1760631887.680871,83834.000,11098,10,PR,1,100,112312
1201957.966738,1201957.966739,1760631887.690271,83843.400,11115,10,PR,1,100,112316
1201957.976138,1201957.976139,1760631887.699671,83852.800,11115,10,PR,1,100,112343
1201957.985538,1201957.985539,1760631887.709071,83862.200,11115,10,PR,1,100,112325
1201957.994938,1201957.994939,1760631887.718471,83871.600,11115,10,PR,1,100,112308
1201958.004338,1201958.004339,1760631887.727871,83881.000,11115,10,PR,1,100,112330
1201958.013738,1201958.013739,1760631887.737271,83890.400,11115,10,PR,1,100,112318
1201958.023138,1201958.023139,1760631887.746670,83899.800,11115,10,PR,1,100,112297
1201958.032538,1201958.032538,1760631887.756070,83909.200,11115,10,PR,1,100,112321
1201958.041938,1201958.041938,1760631887.765471,83918.600,11115,10,PR,1,100,112304
1201958.051338,1201958.051338,1760631887.774870,83928.000,11115,10,PR,1,100,112337
1201958.061938,1201958.061938,1760631887.785470,83938.600,11131,10,PR,1,100,112310
1201958.072538,1201958.072538,1760631887.796070,83949.200,11131,10,PR,1,100,112275
1201958.083138,1201958.083138,1760631887.806670,83959.800,11131,10,PR,1,100,112314
1201958.093738,1201958.093738,1760631887.817270,83970.400,11131,10,PR,1,100,112326
1201958.104338,1201958.104338,1760631887.827870,83981.000,11131,10,PR,1,100,112312
1201958.114938,1201958.114938,1760631887.838470,83991.600,11131,10,PR,1,100,112332
1201958.125538,1201958.125538,1760631887.849070,84002.200,11131,10,PR,1,100,112305
1201958.136138,1201958.136138,1760631887.859670,84012.800,11131,10,PR,1,100,112324
1201958.146738,1201958.146738,1760631887.870270,84023.400,11131,10,PR,1,100,112313
1201958.157337,1201958.157338,1760631887.880870,84034.000,11131,10,PR,1,100,112283
1201958.166637,1201958.166638,1760631887.890170,84043.300,11147,10,PR,1,100,112307
1201958.175937,1201958.175938,1760631887.899470,84052.600,11147,10,PR,1,100,112334
1201958.185237,1201958.185238,1760631887.908770,84061.900,11147,10,PR,1,100,112312
1201958.194537,1201958.194538,1760631887.918070,84071.200,11147,10,PR,1,100,112291
1201958.203837,1201958.203838,1760631887.927370,84080.500,11147,10,PR,1,100,112291
1201958.213137,1201958.213138,1760631887.936670,84089.800,11147,10,PR,1,100,112323
1201958.222437,1201958.222437,1760631887.945970,84099.100,11147,10,PR,1,100,112320
1201958.231737,1201958.231737,1760631887.955270,84108.400,11147,10,PR,1,100,112302
1201958.241037,1201958.241037,1760631887.964570,84117.700,11147,10,PR,1,100,112302
1201958.250337,1201958.250337,1760631887.973870,84127.000,11147,10,PR,1,100,112332
1201958.261037,1201958.261037,1760631887.984570,84137.700,11162,10,PR,1,100,112300
1201958.271737,1201958.271737,1760631887.995270,84148.400,11162,10,PR,1,100,112321
1201958.282437,1201958.282437,1760631888.005970,84159.100,11162,10,PR,1,100,112302
1201958.293137,1201958.293137,1760631888.016670,84169.800,11162,10,PR,1,100,112331
1201958.303837,1201958.303837,1760631888.027369,84180.500,11162,10,PR,1,100,112326
1201958.314537,1201958.314537,1760631888.038069,84191.200,11162,10,PR,1,100,112335
1201958.325237,1201958.325237,1760631888.048769,84201.900,11162,10,PR,1,100,112323
1201958.335937,1201958.335937,1760631888.059469,84212.600,11162,10,PR,1,100,112327
1201958.346637,1201958.346637,1760631888.070169,84223.300,11162,10,PR,1,100,112299
1201958.357336,1201958.357337,1760631888.080869,84234.000,11162,10,PR,1,100,112330
1201958.367064,1201958.367064,1760631888.090596,84243.727,11178,11,PR,1,100,112320
1201958.376791,1201958.376791,1760631888.100324,84253.455,11178,11,PR,1,100,112338
1201958.386518,1201958.386518,1760631888.110051,84263.182,11178,11,PR,1,100,112307
1201958.396245,1201958.396246,1760631888.119778,84272.909,11178,11,PR,1,100,112299
1201958.405973,1201958.405973,1760631888.129505,84282.636,11178,11,PR,1,100,112328
1201958.415700,1201958.415700,1760631888.139233,84292.364,11178,11,PR,1,100,112322
1201958.425427,1201958.425427,1760631888.148960,84302.091,11178,11,PR,1,100,112338
1201958.435154,1201958.435155,1760631888.158687,84311.818,11178,11,PR,1,100,112322
1201958.444881,1201958.444882,1760631888.168414,84321.545,11178,11,PR,1,100,112330
1201958.454609,1201958.454609,1760631888.178142,84331.273,11178,11,PR,1,100,112336
1201958.464336,1201958.464336,1760631888.187869,84341.000,11178,11,PR,1,100,112324
1201958.474669,1201958.474669,1760631888.198202,84351.333,11193,9,PR,1,100,112317
1201958.485002,1201958.485003,1760631888.208535,84361.667,11193,9,PR,1,100,112294
1201958.495336,1201958.495336,1760631888.218869,84372.000,11193,9,PR,1,100,112331
1201958.505669,1201958.505669,1760631888.229202,84382.333,11193,9,PR,1,100,112336
1201958.516002,1201958.516003,1760631888.239535,84392.667,11193,9,PR,1,100,112310
1201958.526336,1201958.526336,1760631888.249869,84403.000,11193,9,PR,1,100,112300
1201958.536669,1201958.536669,1760631888.260202,84413.333,11193,9,PR,1,100,112288
1201958.547002,1201958.547002,1760631888.270535,84423.667,11193,9,PR,1,100,112322
1201958.557335,1201958.557336,1760631888.280869,84434.000,11193,9,PR,1,100,112300
1201958.567063,1201958.567063,1760631888.290596,84443.727,11209,11,PR,1,100,112303
1201958.576790,1201958.576790,1760631888.300323,84453.455,11209,11,PR,1,100,112287
1201958.586517,1201958.586517,1760631888.310050,84463.182,11209,11,PR,1,100,112343
1201958.596244,1201958.596245,1760631888.319777,84472.909,11209,11,PR,1,100,112309
1201958.605972,1201958.605972,1760631888.329505,84482.636,11209,11,PR,1,100,112300
1201958.615699,1201958.615699,1760631888.339232,84492.364,11209,11,PR,1,100,112342
1201958.625426,1201958.625426,1760631888.348959,84502.091,11209,11,PR,1,100,112286
1201958.635153,1201958.635154,1760631888.358686,84511.818,11209,11,PR,1,100,112316
1201958.644880,1201958.644881,1760631888.368414,84521.545,11209,11,PR,1,100,112299
1201958.654608,1201958.654608,1760631888.378141,84531.273,11209,11,PR,1,100,112315
1201958.664335,1201958.664335,1760631888.387868,84541.000,11209,11,PR,1,100,112329
1201958.674935,1201958.674935,1760631888.398468,84551.600,11224,10,PR,1,100,112306
1201958.685535,1201958.685535,1760631888.409068,84562.200,11224,10,PR,1,100,112303
1201958.696135,1201958.696135,1760631888.419668,84572.800,11224,10,PR,1,100,112316
1201958.706735,1201958.706735,1760631888.430268,84583.400,11224,10,PR,1,100,112288
1201958.717335,1201958.717335,1760631888.440868,84594.000,11224,10,PR,1,100,112319
1201958.727935,1201958.727935,1760631888.451468,84604.600,11224,10,PR,1,100,112308
1201958.738534,1201958.738535,1760631888.462068,84615.200,11224,10,PR,1,100,112312
1201958.749134,1201958.749135,1760631888.472668,84625.800,11224,10,PR,1,100,112320
1201958.759734,1201958.759735,1760631888.483268,84636.400,11224,10,PR,1,100,112309
1201958.770334,1201958.770335,1760631888.493868,84647.000,11224,10,PR,1,100,112320
1201958.780779,1201958.780779,1760631888.504312,84657.444,11247,9,PR,1,100,112346
1201958.791223,1201958.791223,1760631888.514756,84667.889,11247,9,PR,1,100,112334
1201958.801667,1201958.801668,1760631888.525201,84678.333,11247,9,PR,1,100,112270
1201958.812112,1201958.812112,1760631888.535645,84688.778,11247,9,PR,1,100,112315
1201958.822556,1201958.822557,1760631888.546090,84699.222,11247,9,PR,1,100,112286
1201958.833001,1201958.833001,1760631888.556534,84709.667,11247,9,PR,1,100,112295
1201958.843445,1201958.843445,1760631888.566978,84720.111,11247,9,PR,1,100,112301
1201958.853889,1201958.853890,1760631888.577423,84730.556,11247,9,PR,1,100,112317
1201958.864334,1201958.864334,1760631888.587867,84741.000,11247,9,PR,1,100,112301
1201958.873970,1201958.873970,1760631888.597504,84750.636,11262,11,PR,1,100,112327
1201958.883606,1201958.883607,1760631888.607140,84760.273,11262,11,PR,1,100,112317
1201958.893243,1201958.893243,1760631888.616776,84769.909,11262,11,PR,1,100,112314
1201958.902879,1201958.902879,1760631888.626413,84779.545,11262,11,PR,1,100,112328
1201958.912515,1201958.912516,1760631888.636049,84789.182,11262,11,PR,1,100,112296
1201958.922152,1201958.922152,1760631888.645685,84798.818,11262,11,PR,1,100,112315
1201958.931788,1201958.931788,1760631888.655322,84808.455,11262,11,PR,1,100,112298
1201958.941424,1201958.941425,1760631888.664958,84818.091,11262,11,PR,1,100,112310
1201958.951061,1201958.951061,1760631888.674594,84827.727,11262,11,PR,1,100,112322
1201958.960697,1201958.960697,1760631888.684231,84837.364,11262,11,PR,1,100,112335
1201958.970333,1201958.970334,1760631888.693867,84847.000,11262,11,PR,1,100,112324
1201958.980778,1201958.980778,1760631888.704311,84857.444,11278,9,PR,1,100,112309
1201958.991222,1201958.991222,1760631888.714756,84867.889,11278,9,PR,1,100,112323
1201959.001666,1201959.001667,1760631888.725200,84878.333,11278,9,PR,1,100,112321
1201959.012111,1201959.012111,1760631888.735645,84888.778,11278,9,PR,1,100,112325
1201959.022555,1201959.022556,1760631888.746089,84899.222,11278,9,PR,1,100,112330
1201959.033000,1201959.033000,1760631888.756533,84909.667,11278,9,PR,1,100,112327
1201959.043444,1201959.043444,1760631888.766978,84920.111,11278,9,PR,1,100,112324
1201959.053888,1201959.053889,1760631888.777422,84930.556,11278,9,PR,1,100,112319
1201959.064333,1201959.064333,1760631888.787867,84941.000,11278,9,PR,1,100,112298
1201959.073969,1201959.073969,1760631888.797503,84950.636,11294,11,PR,1,100,112297
1201959.083605,1201959.083606,1760631888.807139,84960.273,11294,11,PR,1,100,112343
1201959.093242,1201959.093242,1760631888.816776,84969.909,11294,11,PR,1,100,112324
