LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437242.838647,174089.000,24780,1,T1,1,100,32.153
1759437242.971651,174222.000,24795,1,T1,1,100,32.244
1759437243.104656,174355.000,24812,1,T1,1,100,32.354
1759437243.238661,174489.000,24842,1,T1,1,100,32.295
1759437243.371665,174622.000,24858,1,T1,1,100,32.128
1759437243.504670,174755.000,24874,1,T1,1,100,32.232
1759437243.637675,174888.000,24905,1,T1,1,100,32.172
1759437243.771679,175022.000,24920,1,T1,1,100,32.181
1759437243.904684,175155.000,24936,1,T1,1,100,32.220
1759437244.037688,175288.000,24967,1,T1,1,100,32.308
1759437244.171693,175422.000,24982,1,T1,1,100,32.204
1759437244.304698,175555.000,24998,1,T1,1,100,32.230
1759437244.437702,175688.000,25031,1,T1,1,100,32.383
1759437244.571707,175822.000,25046,1,T1,1,100,32.237
1759437244.704712,175955.000,25063,1,T1,1,100,32.173
1759437244.837716,176088.000,25078,1,T1,1,100,32.181
1759437244.971721,176222.000,25108,1,T1,1,100,32.291
1759437245.104726,176355.000,25125,1,T1,1,100,32.197
1759437245.237730,176488.000,25140,1,T1,1,100,32.192
1759437245.371735,176622.000,25171,1,T1,1,100,32.296
1759437245.504740,176755.000,25187,1,T1,1,100,32.234
1759437245.637744,176888.000,25202,1,T1,1,100,32.314
1759437245.771749,177022.000,25233,1,T1,1,100,32.278
1759437245.904753,177155.000,25249,1,T1,1,100,32.191
1759437246.037758,177288.000,25265,1,T1,1,100,32.260
1759437246.171763,177422.000,25295,1,T1,1,100,32.254
1759437246.304767,177555.000,25311,1,T1,1,100,32.216
1759437246.437772,177688.000,25327,1,T1,1,100,32.200
1759437246.571777,177822.000,25357,1,T1,1,100,32.193
1759437246.704781,177955.000,25374,1,T1,1,100,32.154
1759437246.837786,178088.000,25389,1,T1,1,100,32.244
1759437246.971791,178222.000,25420,1,T1,1,100,32.212
1759437247.104795,178355.000,25436,1,T1,1,100,32.163
1759437247.237800,178488.000,25451,1,T1,1,100,32.212
1759437247.370805,178621.000,25467,1,T1,1,100,32.269
1759437247.504809,178755.000,25498,1,T1,1,100,32.223
1759437247.637814,178888.000,25513,1,T1,1,100,32.309
1759437247.770818,179021.000,25532,1,T1,1,100,32.311
1759437247.904823,179155.000,25562,1,T1,1,100,32.241
1759437248.037828,179288.000,25578,1,T1,1,100,32.317
1759437248.170832,179421.000,25594,1,T1,1,100,32.314
1759437248.304837,179555.000,25625,1,T1,1,100,32.242
1759437248.437842,179688.000,25640,1,T1,1,100,32.211
1759437248.570846,179821.000,25656,1,T1,1,100,32.340
1759437248.704851,179955.000,25687,1,T1,1,100,32.218
