LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437234.327350,165578.000,23466,3,PR,1,100,105088
1759437234.367352,165618.000,23466,3,PR,1,100,105093
1759437234.407353,165658.000,23466,3,PR,1,100,105099
1759437234.447354,165698.000,23480,2,PR,1,100,105125
1759437234.487356,165738.000,23480,2,PR,1,100,105112
1759437234.527357,165778.000,23496,3,PR,1,100,105119
1759437234.567358,165818.000,23496,3,PR,1,100,105126
1759437234.607360,165858.000,23496,3,PR,1,100,105128
1759437234.647361,165898.000,23512,2,PR,1,100,105114
1759437234.687363,165938.000,23512,2,PR,1,100,105114
1759437234.727364,165978.000,23528,3,PR,1,100,105116
1759437234.767365,166018.000,23528,3,PR,1,100,105118
1759437234.807367,166058.000,23528,3,PR,1,100,105130
1759437234.846868,166097.500,23542,2,PR,1,100,105124
1759437234.886370,166137.000,23542,2,PR,1,100,105111
1759437234.926371,166177.000,23558,3,PR,1,100,105142
1759437234.966372,166217.000,23558,3,PR,1,100,105140
1759437235.006374,166257.000,23558,3,PR,1,100,105134
1759437235.046375,166297.000,23574,2,PR,1,100,105131
1759437235.086377,166337.000,23574,2,PR,1,100,105125
1759437235.126378,166377.000,23590,3,PR,1,100,105130
1759437235.166379,166417.000,23590,3,PR,1,100,105145
1759437235.206381,166457.000,23590,3,PR,1,100,105136
1759437235.246382,166497.000,23604,2,PR,1,100,105130
1759437235.286384,166537.000,23604,2,PR,1,100,105147
1759437235.326385,166577.000,23621,3,PR,1,100,105135
1759437235.366386,166617.000,23621,3,PR,1,100,105143
1759437235.406388,166657.000,23621,3,PR,1,100,105142
1759437235.446723,166697.333,23636,3,PR,1,100,105128
1759437235.487057,166737.667,23636,3,PR,1,100,105122
1759437235.527392,166778.000,23636,3,PR,1,100,105135
1759437235.566893,166817.500,23652,2,PR,1,100,105141
1759437235.606395,166857.000,23652,2,PR,1,100,105133
1759437235.646396,166897.000,23667,3,PR,1,100,105151
1759437235.686398,166937.000,23667,3,PR,1,100,105156
1759437235.726399,166977.000,23667,3,PR,1,100,105155
1759437235.766400,167017.000,23683,2,PR,1,100,105156
1759437235.806402,167057.000,23683,2,PR,1,100,105163
1759437235.846403,167097.000,23698,3,PR,1,100,105142
1759437235.886405,167137.000,23698,3,PR,1,100,105147
1759437235.926406,167177.000,23698,3,PR,1,100,105155
1759437235.966407,167217.000,23714,2,PR,1,100,105160
1759437236.006409,167257.000,23714,2,PR,1,100,105162
1759437236.046410,167297.000,23729,3,PR,1,100,105154
1759437236.086411,167337.000,23729,3,PR,1,100,105155
1759437236.126413,167377.000,23729,3,PR,1,100,105165
1759437236.166414,167417.000,23745,2,PR,1,100,105167
1759437236.206416,167457.000,23745,2,PR,1,100,105155
