LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1759437228.580150,159831.000,22577,3,AX,1,100,-0.131
1759437228.620151,159871.000,22577,3,AX,1,100,-0.130
1759437228.660153,159911.000,22594,2,AX,1,100,-0.131
1759437228.700154,159951.000,22594,2,AX,1,100,-0.126
1759437228.740155,159991.000,22608,3,AX,1,100,-0.131
1759437228.780157,160031.000,22608,3,AX,1,100,-0.129
1759437228.820158,160071.000,22608,3,AX,1,100,-0.133
1759437228.860160,160111.000,22624,2,AX,1,100,-0.130
1759437228.900161,160151.000,22624,2,AX,1,100,-0.133
1759437228.940162,160191.000,22639,3,AX,1,100,-0.127
1759437228.980164,160231.000,22639,3,AX,1,100,-0.129
1759437229.020165,160271.000,22639,3,AX,1,100,-0.130
1759437229.060167,160311.000,22657,2,AX,1,100,-0.131
1759437229.100168,160351.000,22657,2,AX,1,100,-0.129
1759437229.144836,160395.667,22672,3,AX,1,100,-0.127
1759437229.189504,160440.333,22672,3,AX,1,100,-0.126
1759437229.234173,160485.000,22672,3,AX,1,100,-0.133
1759437229.274174,160525.000,22687,2,AX,1,100,-0.131
1759437229.314176,160565.000,22687,2,AX,1,100,-0.127
1759437229.354177,160605.000,22703,3,AX,1,100,-0.129
1759437229.394178,160645.000,22703,3,AX,1,100,-0.126
1759437229.434180,160685.000,22703,3,AX,1,100,-0.131
1759437229.474181,160725.000,22719,2,AX,1,100,-0.133
1759437229.514183,160765.000,22719,2,AX,1,100,-0.129
1759437229.554184,160805.000,22734,3,AX,1,100,-0.132
1759437229.594185,160845.000,22734,3,AX,1,100,-0.124
1759437229.634187,160885.000,22734,3,AX,1,100,-0.133
1759437229.674188,160925.000,22750,2,AX,1,100,-0.127
1759437229.714190,160965.000,22750,2,AX,1,100,-0.131
1759437229.754191,161005.000,22765,3,AX,1,100,-0.127
1759437229.794192,161045.000,22765,3,AX,1,100,-0.123
1759437229.834194,161085.000,22765,3,AX,1,100,-0.131
1759437229.874195,161125.000,22783,2,AX,1,100,-0.132
1759437229.914196,161165.000,22783,2,AX,1,100,-0.135
1759437229.954198,161205.000,22799,3,AX,1,100,-0.127
1759437229.994199,161245.000,22799,3,AX,1,100,-0.126
1759437230.034201,161285.000,22799,3,AX,1,100,-0.129
1759437230.074202,161325.000,22814,2,AX,1,100,-0.133
1759437230.114203,161365.000,22814,2,AX,1,100,-0.129
1759437230.154205,161405.000,22829,3,AX,1,100,-0.129
1759437230.194206,161445.000,22829,3,AX,1,100,-0.129
1759437230.234208,161485.000,22829,3,AX,1,100,-0.130
1759437230.274209,161525.000,22845,2,AX,1,100,-0.113
1759437230.314210,161565.000,22845,2,AX,1,100,-0.128
1759437230.354212,161605.000,22861,3,AX,1,100,-0.133
1759437230.394213,161645.000,22861,3,AX,1,100,-0.125
1759437230.434215,161685.000,22861,3,AX,1,100,-0.133
1759437230.474216,161725.000,22876,3,AX,1,100,-0.128
1759437230.514217,161765.000,22876,3,AX,1,100,-0.130
1759437230.554219,161805.000,22876,3,AX,1,100,-0.127
1759437230.594220,161845.000,22891,2,AX,1,100,-0.126
1759437230.634222,161885.000,22891,2,AX,1,100,-0.132
1759437230.674223,161925.000,22908,3,AX,1,100,-0.130
1759437230.714224,161965.000,22908,3,AX,1,100,-0.131
