LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437238.511496,169762.000,24109,1,EA,1,100,0.094381
1759437238.578498,169829.000,24124,2,EA,1,100,0.094450
1759437238.645501,169896.000,24124,2,EA,1,100,0.094492
1759437238.711503,169962.000,24142,1,EA,1,100,0.094520
1759437238.778505,170029.000,24158,2,EA,1,100,0.094554
1759437238.845508,170096.000,24158,2,EA,1,100,0.094577
1759437238.911510,170162.000,24173,1,EA,1,100,0.094589
1759437238.978512,170229.000,24190,2,EA,1,100,0.094604
1759437239.045515,170296.000,24190,2,EA,1,100,0.094613
1759437239.111517,170362.000,24204,1,EA,1,100,0.094639
1759437239.178519,170429.000,24222,2,EA,1,100,0.094673
1759437239.245522,170496.000,24222,2,EA,1,100,0.094711
1759437239.312024,170562.500,24238,2,EA,1,100,0.094755
1759437239.378526,170629.000,24238,2,EA,1,100,0.094792
1759437239.445529,170696.000,24254,1,EA,1,100,0.094824
1759437239.512031,170762.500,24268,2,EA,1,100,0.094851
1759437239.578533,170829.000,24268,2,EA,1,100,0.094878
1759437239.645535,170896.000,24284,1,EA,1,100,0.094900
1759437239.712038,170962.500,24300,2,EA,1,100,0.094924
1759437239.778540,171029.000,24300,2,EA,1,100,0.094947
1759437239.845542,171096.000,24316,1,EA,1,100,0.094971
1759437239.912045,171162.500,24330,2,EA,1,100,0.094990
1759437239.978547,171229.000,24330,2,EA,1,100,0.095015
1759437240.045049,171295.500,24348,2,EA,1,100,0.095040
1759437240.111552,171362.000,24348,2,EA,1,100,0.095069
1759437240.178554,171429.000,24364,2,EA,1,100,0.095092
1759437240.245556,171496.000,24364,2,EA,1,100,0.095124
1759437240.311558,171562.000,24379,1,EA,1,100,0.095155
1759437240.378561,171629.000,24396,2,EA,1,100,0.095192
1759437240.445563,171696.000,24396,2,EA,1,100,0.095234
1759437240.511565,171762.000,24411,1,EA,1,100,0.095277
1759437240.578568,171829.000,24427,2,EA,1,100,0.095323
1759437240.645570,171896.000,24427,2,EA,1,100,0.095364
1759437240.712073,171962.500,24444,2,EA,1,100,0.095395
1759437240.778575,172029.000,24444,2,EA,1,100,0.095434
1759437240.845577,172096.000,24460,1,EA,1,100,0.095472
1759437240.912080,172162.500,24475,2,EA,1,100,0.095518
1759437240.978582,172229.000,24475,2,EA,1,100,0.095566
1759437241.045584,172296.000,24492,1,EA,1,100,0.095611
1759437241.112087,172362.500,24506,2,EA,1,100,0.095648
1759437241.178589,172429.000,24506,2,EA,1,100,0.095693
1759437241.245591,172496.000,24522,1,EA,1,100,0.095746
1759437241.312093,172562.500,24538,2,EA,1,100,0.095800
1759437241.378596,172629.000,24538,2,EA,1,100,0.095850
1759437241.445598,172696.000,24554,1,EA,1,100,0.095904
1759437241.512100,172762.500,24568,2,EA,1,100,0.095961
1759437241.578603,172829.000,24568,2,EA,1,100,0.096013
1759437241.645605,172896.000,24586,1,EA,1,100,0.096040
1759437241.712107,172962.500,24602,2,EA,1,100,0.096044
