LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032507.808971,1032507.808973,1760462437.621840,119928.000,16758,2,AY,1,100,0.080
1032507.848972,1032507.848974,1760462437.661841,119968.000,16758,2,AY,1,100,0.004
1032507.888972,1032507.888974,1760462437.701842,120008.000,16773,3,AY,1,100,0.009
1032507.928973,1032507.928975,1760462437.741842,120048.000,16773,3,AY,1,100,0.080
1032507.968974,1032507.968976,1760462437.781843,120088.000,16773,3,AY,1,100,0.073
1032508.008974,1032508.008976,1760462437.821844,120128.000,16789,2,AY,1,100,0.073
1032508.048975,1032508.048977,1760462437.861844,120168.000,16789,2,AY,1,100,0.074
1032508.088975,1032508.088977,1760462437.901845,120208.000,16804,3,AY,1,100,0.071
1032508.128976,1032508.128978,1760462437.941846,120248.000,16804,3,AY,1,100,0.101
1032508.168976,1032508.168978,1760462437.981846,120288.000,16804,3,AY,1,100,0.094
1032508.208977,1032508.208979,1760462438.021847,120328.000,16823,2,AY,1,100,0.085
1032508.248978,1032508.248980,1760462438.061848,120368.000,16823,2,AY,1,100,0.079
1032508.288978,1032508.288980,1760462438.101848,120408.000,16837,3,AY,1,100,0.083
1032508.328979,1032508.328981,1760462438.141849,120448.000,16837,3,AY,1,100,0.084
1032508.368979,1032508.368981,1760462438.181850,120488.000,16837,3,AY,1,100,0.084
1032508.408980,1032508.408982,1760462438.221850,120528.000,16853,2,AY,1,100,0.078
1032508.448981,1032508.448983,1760462438.261851,120568.000,16853,2,AY,1,100,0.079
1032508.488981,1032508.488983,1760462438.301852,120608.000,16869,3,AY,1,100,0.082
1032508.528982,1032508.528984,1760462438.341853,120648.000,16869,3,AY,1,100,0.085
1032508.568982,1032508.568984,1760462438.381853,120688.000,16869,3,AY,1,100,0.077
1032508.615483,1032508.615485,1760462438.428354,120734.500,16885,2,AY,1,100,0.079
1032508.661984,1032508.661986,1760462438.474855,120781.000,16885,2,AY,1,100,0.082
1032508.701984,1032508.701986,1760462438.514855,120821.000,16899,3,AY,1,100,0.077
1032508.741985,1032508.741987,1760462438.554856,120861.000,16899,3,AY,1,100,0.078
1032508.781986,1032508.781987,1760462438.594857,120901.000,16899,3,AY,1,100,0.078
1032508.821986,1032508.821988,1760462438.634858,120941.000,16918,2,AY,1,100,0.079
1032508.861987,1032508.861989,1760462438.674858,120981.000,16918,2,AY,1,100,0.072
1032508.901987,1032508.901989,1760462438.714859,121021.000,16933,3,AY,1,100,0.085
1032508.941988,1032508.941990,1760462438.754860,121061.000,16933,3,AY,1,100,0.076
1032508.981988,1032508.981990,1760462438.794860,121101.000,16933,3,AY,1,100,0.079
1032509.021989,1032509.021991,1760462438.834861,121141.000,16949,2,AY,1,100,0.078
1032509.061990,1032509.061992,1760462438.874862,121181.000,16949,2,AY,1,100,0.080
1032509.101990,1032509.101992,1760462438.914862,121221.000,16963,3,AY,1,100,0.073
1032509.141991,1032509.141993,1760462438.954863,121261.000,16963,3,AY,1,100,0.068
1032509.181991,1032509.181993,1760462438.994864,121301.000,16963,3,AY,1,100,0.081
1032509.221992,1032509.221994,1760462439.034864,121341.000,16980,2,AY,1,100,0.079
1032509.261993,1032509.261994,1760462439.074865,121381.000,16980,2,AY,1,100,0.077
1032509.301993,1032509.301995,1760462439.114866,121421.000,16995,3,AY,1,100,0.077
1032509.341994,1032509.341996,1760462439.154866,121461.000,16995,3,AY,1,100,0.078
1032509.381994,1032509.381996,1760462439.194867,121501.000,16995,3,AY,1,100,0.078
1032509.421995,1032509.421997,1760462439.234868,121541.000,17013,2,AY,1,100,0.079
1032509.461995,1032509.461997,1760462439.274868,121581.000,17013,2,AY,1,100,0.073
1032509.501996,1032509.501998,1760462439.314869,121621.000,17028,3,AY,1,100,0.073
1032509.541997,1032509.541999,1760462439.354870,121661.000,17028,3,AY,1,100,0.076
