LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032567.402347,1032567.402345,1760462497.215358,179520.500,26180,2,EL,1,100,-12492.000000
1032567.468848,1032567.468846,1760462497.281859,179587.000,26180,2,EL,1,100,-12491.400391
1032567.535849,1032567.535847,1760462497.348860,179654.000,26196,1,EL,1,100,-12492.000000
1032567.602350,1032567.602348,1760462497.415361,179720.500,26213,2,EL,1,100,-12492.799805
1032567.668851,1032567.668849,1760462497.481862,179787.000,26213,2,EL,1,100,-12493.000000
1032567.735852,1032567.735850,1760462497.548863,179854.000,26228,1,EL,1,100,-12492.400391
1032567.802353,1032567.802351,1760462497.615365,179920.500,26245,2,EL,1,100,-12492.000000
1032567.868854,1032567.868852,1760462497.681866,179987.000,26245,2,EL,1,100,-12492.000000
1032567.935855,1032567.935853,1760462497.748867,180054.000,26260,1,EL,1,100,-12492.000000
1032568.002356,1032568.002354,1760462497.815368,180120.500,26275,2,EL,1,100,-12491.799805
1032568.068857,1032568.068855,1760462497.881869,180187.000,26275,2,EL,1,100,-12490.400391
1032568.135858,1032568.135856,1760462497.948870,180254.000,26290,1,EL,1,100,-12489.400391
1032568.202359,1032568.202357,1760462498.015372,180320.500,26309,2,EL,1,100,-12490.200195
1032568.268860,1032568.268858,1760462498.081873,180387.000,26309,2,EL,1,100,-12490.599609
1032568.335861,1032568.335859,1760462498.148874,180454.000,26324,1,EL,1,100,-12490.599609
1032568.402362,1032568.402360,1760462498.215375,180520.500,26340,2,EL,1,100,-12489.400391
1032568.468863,1032568.468861,1760462498.281876,180587.000,26340,2,EL,1,100,-12488.200195
1032568.535864,1032568.535862,1760462498.348877,180654.000,26355,1,EL,1,100,-12488.000000
1032568.602365,1032568.602363,1760462498.415378,180720.500,26371,2,EL,1,100,-12488.400391
1032568.668866,1032568.668864,1760462498.481879,180787.000,26371,2,EL,1,100,-12489.200195
1032568.735867,1032568.735865,1760462498.548881,180854.000,26386,2,EL,1,100,-12489.799805
1032568.802868,1032568.802866,1760462498.615882,180921.000,26386,2,EL,1,100,-12490.000000
1032568.868869,1032568.868867,1760462498.681883,180987.000,26405,1,EL,1,100,-12490.000000
1032568.935870,1032568.935868,1760462498.748884,181054.000,26419,2,EL,1,100,-12490.200195
1032569.002871,1032569.002869,1760462498.815885,181121.000,26419,2,EL,1,100,-12489.799805
1032569.068871,1032569.068870,1760462498.881886,181187.000,26435,1,EL,1,100,-12489.599609
1032569.135872,1032569.135871,1760462498.948887,181254.000,26451,2,EL,1,100,-12490.799805
1032569.202873,1032569.202871,1760462499.015888,181321.000,26451,2,EL,1,100,-12491.000000
1032569.268874,1032569.268872,1760462499.081890,181387.000,26467,1,EL,1,100,-12491.799805
1032569.335875,1032569.335873,1760462499.148891,181454.000,26481,2,EL,1,100,-12493.799805
1032569.402876,1032569.402874,1760462499.215892,181521.000,26481,2,EL,1,100,-12495.200195
1032569.468877,1032569.468875,1760462499.281893,181587.000,26499,1,EL,1,100,-12497.200195
1032569.535878,1032569.535876,1760462499.348894,181654.000,26515,2,EL,1,100,-12499.599609
1032569.602879,1032569.602877,1760462499.415895,181721.000,26515,2,EL,1,100,-12501.200195
1032569.668880,1032569.668878,1760462499.481896,181787.000,26531,1,EL,1,100,-12502.400391
1032569.735881,1032569.735879,1760462499.548898,181854.000,26545,2,EL,1,100,-12504.799805
1032569.802882,1032569.802880,1760462499.615899,181921.000,26545,2,EL,1,100,-12506.000000
1032569.868883,1032569.868881,1760462499.681900,181987.000,26562,1,EL,1,100,-12507.799805
1032569.935884,1032569.935882,1760462499.748901,182054.000,26579,2,EL,1,100,-12509.000000
1032570.002885,1032570.002883,1760462499.815902,182121.000,26579,2,EL,1,100,-12510.400391
1032570.068886,1032570.068884,1760462499.881903,182187.000,26595,1,EL,1,100,-12512.799805
1032570.135887,1032570.135885,1760462499.948905,182254.000,26612,2,EL,1,100,-12515.400391
1032570.202888,1032570.202886,1760462500.015906,182321.000,26612,2,EL,1,100,-12517.599609
1032570.268889,1032570.268887,1760462500.081907,182387.000,26628,1,EL,1,100,-12519.799805
1032570.335390,1032570.335388,1760462500.148408,182453.500,26643,2,EL,1,100,-12521.200195
1032570.401891,1032570.401889,1760462500.214909,182520.000,26643,2,EL,1,100,-12523.400391
1032570.468892,1032570.468890,1760462500.281910,182587.000,26659,1,EL,1,100,-12524.000000
1032570.535393,1032570.535391,1760462500.348411,182653.500,26674,2,EL,1,100,-12525.599609
1032570.601894,1032570.601892,1760462500.414912,182720.000,26674,2,EL,1,100,-12526.799805
1032570.668895,1032570.668893,1760462500.481914,182787.000,26690,1,EL,1,100,-12528.599609
1032570.735396,1032570.735394,1760462500.548415,182853.500,26707,2,EL,1,100,-12532.599609
1032570.801897,1032570.801895,1760462500.614916,182920.000,26707,2,EL,1,100,-12534.400391
1032570.868898,1032570.868896,1760462500.681917,182987.000,26724,1,EL,1,100,-12535.799805
1032570.935399,1032570.935397,1760462500.748418,183053.500,26741,2,EL,1,100,-12536.400391
1032571.001900,1032571.001898,1760462500.814919,183120.000,26741,2,EL,1,100,-12537.000000
1032571.068901,1032571.068899,1760462500.881920,183187.000,26756,1,EL,1,100,-12536.799805
1032571.135402,1032571.135400,1760462500.948421,183253.500,26772,2,EL,1,100,-12537.000000
1032571.201903,1032571.201901,1760462501.014923,183320.000,26772,2,EL,1,100,-12537.000000
1032571.268904,1032571.268902,1760462501.081924,183387.000,26788,2,EL,1,100,-12538.200195
1032571.335905,1032571.335903,1760462501.148925,183454.000,26788,2,EL,1,100,-12539.599609
