LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032549.200125,1032549.200124,1760462479.013093,161318.545,23303,11,PG,1,100,6115
1032549.209852,1032549.209852,1760462479.022820,161328.273,23303,11,PG,1,100,6104
1032549.219580,1032549.219579,1760462479.032547,161338.000,23303,11,PG,1,100,6159
1032549.230180,1032549.230179,1760462479.043148,161348.600,23318,10,PG,1,100,6127
1032549.240780,1032549.240779,1760462479.053748,161359.200,23318,10,PG,1,100,6102
1032549.251380,1032549.251380,1760462479.064348,161369.800,23318,10,PG,1,100,6113
1032549.261980,1032549.261980,1760462479.074948,161380.400,23318,10,PG,1,100,6122
1032549.272581,1032549.272580,1760462479.085548,161391.000,23318,10,PG,1,100,6105
1032549.283181,1032549.283180,1760462479.096148,161401.600,23318,10,PG,1,100,6105
1032549.293781,1032549.293780,1760462479.106749,161412.200,23318,10,PG,1,100,6078
1032549.304381,1032549.304380,1760462479.117349,161422.800,23318,10,PG,1,100,6072
1032549.314981,1032549.314981,1760462479.127949,161433.400,23318,10,PG,1,100,6075
1032549.325581,1032549.325581,1760462479.138549,161444.000,23318,10,PG,1,100,6083
1032549.334881,1032549.334881,1760462479.147849,161453.300,23333,10,PG,1,100,6053
1032549.344182,1032549.344181,1760462479.157150,161462.600,23333,10,PG,1,100,6054
1032549.353482,1032549.353481,1760462479.166450,161471.900,23333,10,PG,1,100,6076
1032549.362782,1032549.362781,1760462479.175750,161481.200,23333,10,PG,1,100,6070
1032549.372082,1032549.372081,1760462479.185050,161490.500,23333,10,PG,1,100,6024
1032549.381382,1032549.381381,1760462479.194350,161499.800,23333,10,PG,1,100,6046
1032549.390682,1032549.390682,1760462479.203650,161509.100,23333,10,PG,1,100,6050
1032549.399982,1032549.399982,1760462479.212950,161518.400,23333,10,PG,1,100,6049
1032549.409283,1032549.409282,1760462479.222250,161527.700,23333,10,PG,1,100,6079
1032549.418583,1032549.418582,1760462479.231551,161537.000,23333,10,PG,1,100,6055
1032549.429283,1032549.429282,1760462479.242251,161547.700,23348,10,PG,1,100,6053
1032549.439983,1032549.439982,1760462479.252951,161558.400,23348,10,PG,1,100,6051
1032549.450683,1032549.450682,1760462479.263651,161569.100,23348,10,PG,1,100,6048
1032549.461383,1032549.461383,1760462479.274351,161579.800,23348,10,PG,1,100,6025
1032549.472083,1032549.472083,1760462479.285052,161590.500,23348,10,PG,1,100,6041
1032549.482784,1032549.482783,1760462479.295752,161601.200,23348,10,PG,1,100,6060
1032549.493484,1032549.493483,1760462479.306452,161611.900,23348,10,PG,1,100,6054
1032549.504184,1032549.504183,1760462479.317152,161622.600,23348,10,PG,1,100,6055
1032549.514884,1032549.514883,1760462479.327852,161633.300,23348,10,PG,1,100,6041
1032549.525584,1032549.525584,1760462479.338552,161644.000,23348,10,PG,1,100,6050
1032549.535918,1032549.535917,1760462479.348886,161654.333,23365,9,PG,1,100,6067
1032549.546251,1032549.546251,1760462479.359220,161664.667,23365,9,PG,1,100,6051
1032549.556585,1032549.556584,1760462479.369553,161675.000,23365,9,PG,1,100,6044
1032549.566918,1032549.566918,1760462479.379887,161685.333,23365,9,PG,1,100,6046
1032549.577252,1032549.577251,1760462479.390220,161695.667,23365,9,PG,1,100,6070
1032549.587585,1032549.587584,1760462479.400554,161706.000,23365,9,PG,1,100,6076
1032549.597919,1032549.597918,1760462479.410887,161716.333,23365,9,PG,1,100,6046
