timestamp,time_from_segment_start_sec,selected_channel_name,backup_channel_name,selected_channel_raw,selected_channel_clipped,selected_channel_detrended,selected_channel_filtered,selected_channel_filtered_z
63901.22959739269,44.76559317755164,PPG_1,PPG_2,126527.0,126527.0,-30.027912608304177,-13.409673283484524,-0.6580896795049973
63901.239648042254,44.775643827117165,PPG_1,PPG_2,126517.0,126517.0,-39.99898141431913,-14.135435955587717,-0.693740220899979
63901.24969869182,44.78569447668269,PPG_1,PPG_2,126517.0,126517.0,-39.97005022034864,-15.118441453757779,-0.7420269123365201
63901.25974934139,44.7957451262555,PPG_1,PPG_2,126509.0,126509.0,-47.941119026378146,-16.249466250038445,-0.7975845317463283
63901.26979999096,44.805795775821025,PPG_1,PPG_2,126516.0,126516.0,-40.91218783240765,-17.40202878889174,-0.8542001170899794
63901.27985064053,44.81584642539383,PPG_1,PPG_2,126508.0,126508.0,-48.88325663842261,-18.449663575693314,-0.9056614952640032
63901.289901290096,44.82589707495936,PPG_1,PPG_2,126493.0,126493.0,-63.854325444452115,-19.283177874707675,-0.9466049567597682
63901.29995193966,44.835947724524885,PPG_1,PPG_2,126497.0,126497.0,-59.82539425048162,-19.825750657826614,-0.9732569384720791
63901.310002589235,44.84599837409769,PPG_1,PPG_2,126493.0,126493.0,-63.79646305651113,-20.04282847153728,-0.9839201233961501
63901.3200532388,44.85604902366322,PPG_1,PPG_2,126505.0,126505.0,-51.767531862526084,-19.943679183292055,-0.979049762959141
63901.330103888366,44.866099673228746,PPG_1,PPG_2,126552.0,126552.0,-4.738600668555591,-19.573573164906204,-0.960869605124955
63901.34015453794,44.87615032280155,PPG_1,PPG_2,126499.0,126499.0,-57.7096694745851,-18.99948585373529,-0.9326695829442574
63901.350205187504,44.88620097236708,PPG_1,PPG_2,126509.0,126509.0,-47.68073828060005,-18.294925555226893,-0.8980605336603574
63901.36025583708,44.89625162193988,PPG_1,PPG_2,126514.0,126514.0,-42.65180708662956,-17.527524175542453,-0.8603646370475921
63901.37030648664,44.90630227150541,PPG_1,PPG_2,126553.0,126553.0,-3.622875892659067,-16.74899349337884,-0.8221220525518841
63901.38035713621,44.91635292107094,PPG_1,PPG_2,126506.0,126506.0,-50.593944698688574,-15.987092905590307,-0.7846963630146935
63901.39040778578,44.92640357064374,PPG_1,PPG_2,126535.0,126535.0,-21.56501350470353,-15.242116855192991,-0.748102031914701
63901.400458435346,44.93645422020927,PPG_1,PPG_2,126526.0,126526.0,-30.536082310733036,-14.490252861129186,-0.7111693547819802
63901.41050908492,44.946504869782075,PPG_1,PPG_2,126492.0,126492.0,-64.50715111676254,-13.693301692001667,-0.6720219285821384
63901.42055973448,44.9565555193476,PPG_1,PPG_2,126530.0,126530.0,-26.47821992279205,-12.8120273721965,-0.6287324238636024
63901.43061038405,44.96660616891313,PPG_1,PPG_2,126498.0,126498.0,-58.449288728807005,-11.819213042000442,-0.5799639080158308
63901.44066103362,44.976656818485935,PPG_1,PPG_2,126516.0,126516.0,-40.42035753483651,-10.708579173038563,-0.5254079212697056
63901.45071168319,44.98670746805146,PPG_1,PPG_2,126529.0,126529.0,-27.39142634086602,-9.497265309392503,-0.46590638351069424
63901.46076233276,44.99675811762427,PPG_1,PPG_2,126547.0,126547.0,-9.362495146880974,-8.22174077194938,-0.40325072199719414
63901.47081298233,45.00680876718979,PPG_1,PPG_2,126530.0,126530.0,-26.33356395291048,-6.929690321730574,-0.33978328308021866
63901.48086363189,45.01685941675533,PPG_1,PPG_2,126533.0,126533.0,-23.304632758939988,-5.672190752019246,-0.2780130347781798
63901.490914281465,45.02691006632813,PPG_1,PPG_2,126502.0,126502.0,-54.275701564969495,-4.4988540177275995,-0.2203769900710343
63901.50096493103,45.036960715893656,PPG_1,PPG_2,126559.0,126559.0,2.75322962901555,-3.4548142954456185,-0.16909220681074727
63901.5110155806,45.04701136546646,PPG_1,PPG_2,126534.0,126534.0,-22.217839177013957,-2.5769403971748366,-0.12596973585315224
63901.52106623017,45.05706201503199,PPG_1,PPG_2,126522.0,126522.0,-34.188907983043464,-1.8889451450083927,-0.09217438627168016
63901.531116879734,45.06711266459752,PPG_1,PPG_2,126559.0,126559.0,2.840023210927029,-1.3971956326984794,-0.06801891917695754
63901.54116752931,45.07716331417032,PPG_1,PPG_2,126545.0,126545.0,-11.131045595087926,-1.088523405479676,-0.05285648049427409
63901.55121817887,45.08721396373585,PPG_1,PPG_2,126526.0,126526.0,-30.102114401117433,-0.9308877891478032,-0.04511318467406163
63901.561268828445,45.09726461330865,PPG_1,PPG_2,126528.0,126528.0,-28.07318320714694,-0.8776742226251972,-0.04249925517753464
63901.57131947801,45.10731526287418,PPG_1,PPG_2,126528.0,126528.0,-28.044252013161895,-0.87425238860312,-0.04233116960336574
63901.58137012758,45.11736591243971,PPG_1,PPG_2,126565.0,126565.0,8.984679180808598,-0.8635113195691706,-0.04180355232441215
63901.59142077715,45.12741656201251,PPG_1,PPG_2,126519.0,126519.0,-36.98638962522091,-0.7889027365760022,-0.03813866781235682
