subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,lle_1,lle_2
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63119.14976280877,63129.23946474968,63124.194613779226,21.209574090782553,10.0,1.0,True,0.5,8.0,-0.0003106255816565505,-0.0016886817639122356
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63120.15974298304,63130.249444923946,63125.20459395349,22.21955426504428,10.0,1.0,True,0.5,8.0,0.0005529219461951798,8.255069891958093e-05
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63121.1697231573,63131.259425098215,63126.21457412776,23.229534439313284,10.0,1.0,True,0.5,8.0,0.0007188195954952039,-0.003036412744856538
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63122.17970333157,63132.26940527248,63127.224554302025,24.239514613582287,10.0,1.0,True,0.5,8.0,-0.0015317208746831324,-2.7456015202508687e-06
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63123.18968350583,63133.279385446745,63128.23453447629,25.249494787844014,10.0,1.0,True,0.5,8.0,-0.0006692881480504185,-0.0005221866123529514
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63124.1996636801,63134.289365621014,63129.24451465056,26.259474962113018,10.0,1.0,True,0.5,8.0,0.0010060338306989397,-0.0010116923971551061
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63125.20964385436,63135.29934579528,63130.25449482482,27.269455136374745,10.0,1.0,True,0.5,8.0,-0.0019098100795270064,-0.0026345403812140524
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63126.21962402863,63136.309325969545,63131.26447499909,28.27943531064375,10.0,1.0,True,0.5,8.0,-0.00015034967077131507,-0.0031819084910746347
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63127.22960420289,63137.31930614381,63132.27445517335,29.289415484905476,10.0,1.0,True,0.5,8.0,-0.00038850603809197515,-0.00039232638958020303
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63128.23958437716,63138.32928631808,63133.28443534762,30.29939565917448,10.0,1.0,True,0.5,8.0,-0.0018504825668871636,0.0008239643517002882
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63129.24956455143,63139.33926649234,63134.29441552189,31.30937583344348,10.0,1.0,True,0.5,8.0,-0.0045842740244952974,-0.0005077689214507572
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63130.25954472569,63140.34924666661,63135.30439569615,32.31935600770521,10.0,1.0,True,0.5,8.0,-0.0028535509474032876,-0.0034551100468942545
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63131.26952489996,63141.35922684087,63136.31437587041,33.32933618196694,10.0,1.0,True,0.5,8.0,-0.0002908121601832523,-0.0025734645191846377
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63132.27950507422,63142.36920701514,63137.32435604468,34.33931635623594,10.0,1.0,True,0.5,8.0,-0.0015133767739532828,-0.0020145812799125203
