LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032477.410324,89529.800,170696,6067,112654
1032477.419725,89539.200,170720,6069,112659
1032477.429125,89548.600,170821,6077,112748
1032477.438525,89558.000,170825,6097,112738
1032477.449125,89568.600,170884,6084,112786
1032477.459725,89579.200,170921,6075,112813
1032477.470325,89589.800,170960,6082,112826
1032477.480926,89600.400,170947,6061,112840
1032477.491526,89611.000,170994,6084,112825
1032477.502126,89621.600,171026,6050,112852
1032477.512726,89632.200,171002,6087,112801
1032477.523326,89642.800,171047,6084,112835
1032477.533926,89653.400,170990,6074,112790
1032477.544526,89664.000,170962,6088,112811
1032477.554971,89674.444,170977,6082,112778
1032477.565416,89684.889,170960,6087,112802
1032477.57586,89695.333,170970,6064,112787
1032477.586305,89705.778,170929,6068,112761
1032477.596749,89716.222,170927,6078,112758
1032477.607194,89726.667,170877,6061,112734
1032477.617639,89737.111,170822,6064,112695
1032477.628083,89747.556,170773,6038,112707
1032477.638528,89758.000,170730,6037,112699
1032477.648164,89767.636,170771,6058,112687
1032477.657801,89777.273,170731,6004,112726
1032477.667437,89786.909,170769,6022,112766
1032477.677074,89796.545,170803,6026,112837
1032477.68671,89806.182,170837,6003,112848
1032477.696347,89815.818,170822,5995,112812
1032477.705983,89825.455,170824,6013,112834
1032477.71562,89835.091,170765,5982,112795
1032477.725256,89844.727,170785,5994,112819
1032477.734893,89854.364,170784,6024,112836
1032477.744529,89864.000,170760,6001,112775
1032477.754974,89874.444,170703,5983,112730
1032477.765419,89884.889,170721,5993,112709
1032477.775863,89895.333,170660,5986,112697
1032477.786308,89905.778,170694,5999,112716
1032477.796752,89916.222,170675,6026,112713
1032477.807197,89926.667,170693,5984,112714
1032477.817642,89937.111,170679,6007,112733
1032477.828086,89947.556,170709,5999,112749
1032477.838531,89958.000,170718,5987,112733
1032477.848167,89967.636,170693,5978,112713
1032477.857804,89977.273,170697,6000,112697
1032477.86744,89986.909,170676,5998,112729
1032477.877077,89996.545,170681,5998,112692
1032477.886713,90006.182,170644,5956,112677
1032477.89635,90015.818,170675,6007,112709
1032477.905986,90025.455,170648,5990,112672
1032477.915623,90035.091,170636,5974,112691
1032477.925259,90044.727,170605,5974,112653
1032477.934896,90054.364,170575,5965,112600
1032477.944532,90064.000,170541,5989,112579
1032477.955232,90074.700,170505,5981,112553
1032477.965933,90085.400,170467,6004,112505
1032477.976633,90096.100,170475,5978,112505
1032477.987333,90106.800,170515,5979,112528
1032477.998033,90117.500,170528,5993,112567
1032478.008733,90128.200,170524,5996,112550
1032478.019433,90138.900,170498,5983,112551
1032478.030134,90149.600,170526,5950,112545
1032478.040834,90160.300,170493,5995,112524
1032478.051534,90171.000,170447,6019,112510
1032478.060934,90180.400,170376,6002,112390
1032478.070334,90189.800,170277,5967,112338
1032478.079734,90199.200,170248,5980,112270
1032478.089134,90208.600,170215,5995,112214
1032478.098535,90218.000,170143,5962,112165
1032478.107935,90227.400,170117,5961,112144
1032478.117335,90236.800,170151,5981,112184
1032478.126735,90246.200,170167,5967,112234
1032478.136135,90255.600,170193,6032,112271
1032478.145535,90265.000,170183,5990,112339
1032478.156135,90275.600,170239,5989,112438
1032478.166736,90286.200,170295,6010,112502
1032478.177336,90296.800,170326,6010,112542
1032478.187936,90307.400,170343,5999,112528
1032478.198536,90318.000,170352,5997,112542
1032478.209136,90328.600,170322,5978,112515
1032478.219736,90339.200,170331,5961,112554
1032478.230337,90349.800,170291,5986,112521
1032478.240937,90360.400,170277,5964,112508
1032478.251537,90371.000,170233,5950,112479
1032478.26187,90381.333,170208,5943,112496
1032478.272204,90391.667,170193,5931,112448
1032478.282537,90402.000,170193,5942,112436
1032478.292871,90412.333,170136,5913,112405
1032478.303204,90422.667,170202,5962,112409
1032478.313538,90433.000,170209,5948,112447
1032478.323871,90443.333,170211,5920,112448
1032478.334205,90453.667,170224,5969,112459
1032478.344538,90464.000,170261,5951,112478
1032478.354266,90473.727,170314,5974,112529
1032478.363993,90483.455,170322,5942,112535
1032478.37372,90493.182,170386,5966,112554
1032478.383448,90502.909,170391,5946,112571
1032478.393175,90512.636,170460,5966,112612
1032478.402903,90522.364,170432,5972,112589
1032478.41263,90532.091,170478,5961,112615
1032478.422358,90541.818,170453,5965,112593
1032478.432085,90551.545,170454,5969,112617
1032478.441812,90561.273,170490,5982,112621
1032478.45154,90571.000,170479,5961,112597
1032478.461267,90580.727,170482,5960,112613
1032478.470995,90590.455,170488,5956,112605
