t_center,mean_pairwise_r,t_start,t_end
63426.0,-0.05079722272844952,63411,63441
63427.0,-0.019625597560070148,63412,63442
63428.0,0.0009260168796093553,63413,63443
63429.0,0.0011817505403076082,63414,63444
63430.0,0.005437055905738385,63415,63445
63431.0,0.00928328578881707,63416,63446
63432.0,0.015502682558630174,63417,63447
63433.0,0.03394088600232933,63418,63448
63434.0,0.06630095875335437,63419,63449
63435.0,0.09565023976195673,63420,63450
63436.0,0.12407012945407934,63421,63451
63437.0,0.13665018360126557,63422,63452
63438.0,0.1424486996511698,63423,63453
63439.0,0.138971584122356,63424,63454
63440.0,0.133602676123349,63425,63455
63441.0,0.15276434023363952,63426,63456
63442.0,0.17454713075209063,63427,63457
63443.0,0.17779836061510743,63428,63458
63444.0,0.1646560616325156,63429,63459
63445.0,0.15269231968600666,63430,63460
63446.0,0.14189314611960194,63431,63461
63447.0,0.1350601374392887,63432,63462
63448.0,0.12867319168205027,63433,63463
63449.0,0.12123590080796799,63434,63464
63450.0,0.1145548641857091,63435,63465
63451.0,0.10947765126223558,63436,63466
63452.0,0.07662188775018218,63437,63467
63453.0,0.053233616466345106,63438,63468
63454.0,0.04138530900558812,63439,63469
63455.0,0.03522104054891324,63440,63470
63456.0,0.035829390177380745,63441,63471
63457.0,0.021501509067342887,63442,63472
63458.0,0.009196329447316354,63443,63473
63459.0,0.012004216261853056,63444,63474
63460.0,0.01272140792338157,63445,63475
63461.0,0.024258974838803165,63446,63476
63462.0,0.03645815488869838,63447,63477
63463.0,0.04158676752555543,63448,63478
63464.0,0.034423104168328666,63449,63479
63465.0,0.019785976104458675,63450,63480
63466.0,0.00442805360256065,63451,63481
63467.0,0.007080048569121998,63452,63482
63468.0,0.02642195099515588,63453,63483
63469.0,0.05621567354496616,63454,63484
63470.0,0.07910439647235931,63455,63485
63471.0,0.07084125449419995,63456,63486
63472.0,0.04674126033761833,63457,63487
63473.0,0.03645200305203585,63458,63488
63474.0,0.04204811474929424,63459,63489
63475.0,0.047405538931914036,63460,63490
63476.0,0.051868454620474014,63461,63491
63477.0,0.045882333102008836,63462,63492
63478.0,0.043285503743573414,63463,63493
63479.0,0.04738859470686923,63464,63494
63480.0,0.0530850809129038,63465,63495
63481.0,0.06384390656699122,63466,63496
63482.0,0.0757266292771894,63467,63497
63483.0,0.08684579611210469,63468,63498
63484.0,0.0816039060149022,63469,63499
63485.0,0.07859088654320105,63470,63500
63486.0,0.08052333071480391,63471,63501
63487.0,0.06924448686305514,63472,63502
63488.0,0.05512603927701291,63473,63503
63489.0,0.0524721729162254,63474,63504
63490.0,0.05346376056475734,63475,63505
63491.0,0.04295829921626188,63476,63506
63492.0,0.033506261878149014,63477,63507
63493.0,0.02890422046407635,63478,63508
63494.0,0.02217180191142128,63479,63509
63495.0,0.022993735096331555,63480,63510
63496.0,0.009617607456286613,63481,63511
63497.0,-0.010121193965204242,63482,63512
63498.0,-0.03522763713273067,63483,63513
63499.0,-0.07083653776516309,63484,63514
63500.0,-0.1051828852174664,63485,63515
63501.0,-0.1200339008944843,63486,63516
63502.0,-0.12236421952425952,63487,63517
63503.0,-0.12122920832904258,63488,63518
63504.0,-0.12362479403869042,63489,63519
63505.0,-0.12525905121024183,63490,63520
63506.0,-0.12482344812520738,63491,63521
63507.0,-0.12446107248684399,63492,63522
63508.0,-0.12273530273767476,63493,63523
63509.0,-0.12059788273386832,63494,63524
63510.0,-0.11935216709560435,63495,63525
63511.0,-0.11802006916870374,63496,63526
63512.0,-0.11696134894816147,63497,63527
63513.0,-0.11490964064490623,63498,63528
63514.0,-0.09811567950979816,63499,63529
63515.0,-0.06655707673285353,63500,63530
63516.0,-0.029256901135674845,63501,63531
63517.0,0.011157283939731498,63502,63532
63518.0,0.040139179810045875,63503,63533
63519.0,0.0533170403572451,63504,63534
63520.0,0.06138045710452692,63505,63535
63521.0,0.06592230320105873,63506,63536
63522.0,0.07161318596155809,63507,63537
63523.0,0.08114938584723969,63508,63538
63524.0,0.09412874191611334,63509,63539
63525.0,0.08302036653231365,63510,63540
63526.0,0.06605636979434108,63511,63541
63527.0,0.048141646646690864,63512,63542
63528.0,0.04106387515626268,63513,63543
63529.0,0.04377579113517226,63514,63544
63530.0,0.0524147765737751,63515,63545
63531.0,0.049767036224343454,63516,63546
63532.0,0.05272339897618752,63517,63547
63533.0,0.05628770991605287,63518,63548
63534.0,0.0552551067459031,63519,63549
63535.0,0.04803176350075639,63520,63550
63536.0,0.03768393499417402,63521,63551
63537.0,0.024982476039977577,63522,63552
63538.0,0.01630086801718061,63523,63553
63539.0,0.011103596455834221,63524,63554
63540.0,0.011482613960623712,63525,63555
63541.0,0.015312176706874427,63526,63556
63542.0,0.016037798569944257,63527,63557
63543.0,0.013008795846298696,63528,63558
63544.0,0.0018717648820584137,63529,63559
63545.0,-0.02076515456076126,63530,63560
63546.0,-0.04977522532466193,63531,63561
63547.0,-0.07700666856700208,63532,63562
63548.0,-0.09006361048773355,63533,63563
63549.0,-0.09395808377063686,63534,63564
63550.0,-0.09420501839790035,63535,63565
63551.0,-0.08694539534289564,63536,63566
63552.0,-0.07497609111004791,63537,63567
63553.0,-0.060773123506546387,63538,63568
63554.0,-0.05620462979744062,63539,63569
63555.0,-0.06135977173263755,63540,63570
63556.0,-0.06472496587772819,63541,63571
63557.0,-0.07118348250323574,63542,63572
63558.0,-0.07191687242072078,63543,63573
63559.0,-0.06731487753701518,63544,63574
63560.0,-0.0631385453938876,63545,63575
63561.0,-0.06086866484637875,63546,63576
63562.0,-0.05846869463329071,63547,63577
63563.0,-0.053121208772395526,63548,63578
63564.0,-0.04512951912190711,63549,63579
63565.0,-0.04164888877937402,63550,63580
63566.0,-0.03612866152285542,63551,63581
63567.0,-0.028464058270257907,63552,63582
63568.0,-0.01648687370945286,63553,63583
63569.0,-0.008783540598047626,63554,63584
63570.0,-0.007761718932167702,63555,63585
63571.0,-0.0120831864208276,63556,63586
63572.0,-0.015741842055869388,63557,63587
63573.0,-0.005955837524854053,63558,63588
63574.0,0.012457698785566105,63559,63589
63575.0,0.024391652216205286,63560,63590
63576.0,0.03553884406931446,63561,63591
63577.0,0.04733183020759944,63562,63592
63578.0,0.05471561398458823,63563,63593
63579.0,0.05921019506055706,63564,63594
63580.0,0.06391609282743567,63565,63595
63581.0,0.054129162801551965,63566,63596
63582.0,0.03827424445888552,63567,63597
63583.0,0.016840375897015036,63568,63598
63584.0,-0.005063942425386016,63569,63599
63585.0,-0.01904112756056449,63570,63600
63586.0,-0.021261426626155204,63571,63601
63587.0,-0.015455933605187652,63572,63602
63588.0,-0.010944871814466014,63573,63603
63589.0,-0.0064916997419504855,63574,63604
63590.0,0.0030054437989604447,63575,63605
63591.0,-0.006793538456886774,63576,63606
63592.0,-0.031176596850038697,63577,63607
63593.0,-0.04711962618308134,63578,63608
63594.0,-0.050338069558779036,63579,63609
63595.0,-0.05282620026535455,63580,63610
63596.0,-0.05331292073112373,63581,63611
63597.0,-0.060845230703656425,63582,63612
63598.0,-0.07008735597645342,63583,63613
63599.0,-0.07426691971209688,63584,63614
63600.0,-0.076808501759304,63585,63615
63601.0,-0.06641784509102708,63586,63616
63602.0,-0.04731823167271861,63587,63617
63603.0,-0.03720566455460405,63588,63618
63604.0,-0.03423074768058026,63589,63619
63605.0,-0.038051069939588095,63590,63620
63606.0,-0.0411055203693005,63591,63621
63607.0,-0.04003167519254606,63592,63622
63608.0,-0.0443406429619958,63593,63623
63609.0,-0.04704701612506447,63594,63624
63610.0,-0.04842112361136767,63595,63625
63611.0,-0.04625323845254344,63596,63626
63612.0,-0.035025203427899276,63597,63627
63613.0,-0.02004081393891462,63598,63628
63614.0,-0.006258143484166164,63599,63629
63615.0,-0.004958942336772377,63600,63630
63616.0,-0.0027447111714787916,63601,63631
63617.0,-0.0004358798440454342,63602,63632
63618.0,-0.004579449539133941,63603,63633
63619.0,-0.014332488954512728,63604,63634
63620.0,-0.022642743979795144,63605,63635
63621.0,-0.026746365514847808,63606,63636
63622.0,-0.027870435260175647,63607,63637
63623.0,-0.027588467742244344,63608,63638
63624.0,-0.024953956852697252,63609,63639
63625.0,-0.02813699027287441,63610,63640
63626.0,-0.04039972138583693,63611,63641
63627.0,-0.051128905420478696,63612,63642
63628.0,-0.04532000516490616,63613,63643
63629.0,-0.0469149881105572,63614,63644
63630.0,-0.045151882180761535,63615,63645
63631.0,-0.03285438256559678,63616,63646
63632.0,-0.0203573150920587,63617,63647
63633.0,-0.007759449433956892,63618,63648
63634.0,0.0021320332746505815,63619,63649
63635.0,0.002394883181833367,63620,63650
63636.0,-0.003966473655497425,63621,63651
63637.0,-0.014472526631176496,63622,63652
63638.0,-0.016102707181884154,63623,63653
63639.0,-0.027233463376622975,63624,63654
63640.0,-0.03112178973174776,63625,63655
63641.0,-0.032231006002686025,63626,63656
63642.0,-0.033770920366097835,63627,63657
63643.0,-0.03929332272411086,63628,63658
63644.0,-0.0444101241677229,63629,63659
63645.0,-0.048190143315963836,63630,63660
63646.0,-0.049629664559423005,63631,63661
63647.0,-0.04521858698017539,63632,63662
63648.0,-0.037169455722946575,63633,63663
63649.0,-0.030092444564207736,63634,63664
63650.0,-0.008207118545693127,63635,63665
63651.0,0.019717025751013206,63636,63666
63652.0,0.03989126331715249,63637,63667
63653.0,0.04655215361623269,63638,63668
63654.0,0.04939683342054949,63639,63669
63655.0,0.046238000172034575,63640,63670
63656.0,0.05653273448714376,63641,63671
63657.0,0.06519477066592742,63642,63672
63658.0,0.09177707804253125,63643,63673
63659.0,0.11352114129406515,63644,63674
63660.0,0.10056708050625106,63645,63675
63661.0,0.0831887985613882,63646,63676
63662.0,0.07209922079978949,63647,63677
63663.0,0.07618705647931377,63648,63678
63664.0,0.0730415403493992,63649,63679
63665.0,0.06427390673427705,63650,63680
63666.0,0.055555357780187234,63651,63681
63667.0,0.047234398257241184,63652,63682
63668.0,0.04277905409154212,63653,63683
63669.0,0.04246218900603035,63654,63684
63670.0,0.04784185188451685,63655,63685
63671.0,0.06252867593561827,63656,63686
63672.0,0.06898650931394909,63657,63687
63673.0,0.0709942254003055,63658,63688
63674.0,0.06316533221595941,63659,63689
63675.0,0.04184527528950093,63660,63690
63676.0,0.032481304723758896,63661,63691
63677.0,0.0353973750162395,63662,63692
63678.0,0.039225102131340846,63663,63693
63679.0,0.042672909695087455,63664,63694
63680.0,0.033004686505476846,63665,63695
63681.0,0.03572349600872871,63666,63696
63682.0,0.06294833469642265,63667,63697
63683.0,0.10483462418401308,63668,63698
63684.0,0.13126396174044497,63669,63699
63685.0,0.14908930482198357,63670,63700
63686.0,0.15111274137659172,63671,63701
63687.0,0.14347628107449176,63672,63702
63688.0,0.11983960587452341,63673,63703
63689.0,0.09531306553303975,63674,63704
63690.0,0.08262194246297358,63675,63705
63691.0,0.07013749172391344,63676,63706
63692.0,0.05752308632149467,63677,63707
63693.0,0.04682073726713646,63678,63708
63694.0,0.031492066865894855,63679,63709
63695.0,0.01718084063042476,63680,63710
63696.0,0.006691786281620659,63681,63711
63697.0,-0.0009119393068567852,63682,63712
63698.0,-0.005841463076337029,63683,63713
63699.0,-0.008671548858229875,63684,63714
63700.0,-0.009707660195793158,63685,63715
63701.0,-0.00377504153758011,63686,63716
63702.0,0.004111819405585483,63687,63717
63703.0,-0.0033320418451785205,63688,63718
63704.0,-0.021187808794059407,63689,63719
63705.0,-0.03437989370743239,63690,63720
63706.0,-0.045213194168697235,63691,63721
63707.0,-0.048896829162129375,63692,63722
63708.0,-0.04871370692865118,63693,63723
63709.0,-0.0426974730461702,63694,63724
63710.0,-0.04079511663203326,63695,63725
63711.0,-0.04055602395706256,63696,63726
63712.0,-0.04632037952851457,63697,63727
63713.0,-0.061668036213459274,63698,63728
63714.0,-0.07453819266557586,63699,63729
63715.0,-0.09091012820228636,63700,63730
63716.0,-0.10772895022995915,63701,63731
63717.0,-0.11835452933081889,63702,63732
63718.0,-0.12708251473117882,63703,63733
63719.0,-0.13063001677358616,63704,63734
63720.0,-0.130438041416101,63705,63735
63721.0,-0.13155479835241307,63706,63736
63722.0,-0.1289794848349469,63707,63737
63723.0,-0.1285710735479967,63708,63738
63724.0,-0.12517301540809958,63709,63739
63725.0,-0.12208319924179596,63710,63740
63726.0,-0.11787811078346404,63711,63741
63727.0,-0.1132661857937255,63712,63742
63728.0,-0.10656722148563698,63713,63743
63729.0,-0.10677289494544373,63714,63744
63730.0,-0.10299752956683825,63715,63745
63731.0,-0.085479116605502,63716,63746
63732.0,-0.03302776962521048,63717,63747
63733.0,0.026903955892251346,63718,63748
63734.0,0.08686322692577288,63719,63749
63735.0,0.140172447095678,63720,63750
63736.0,0.16779967881313332,63721,63751
63737.0,0.17290191402540647,63722,63752
63738.0,0.16605206996873126,63723,63753
63739.0,0.16276593555660346,63724,63754
63740.0,0.16133412667955885,63725,63755
63741.0,0.16234861575980813,63726,63756
63742.0,0.16862333813553954,63727,63757
63743.0,0.18783407060464657,63728,63758
63744.0,0.2095631695401857,63729,63759
63745.0,0.20095689764576088,63730,63760
63746.0,0.191652732669399,63731,63761
63747.0,0.18287574384518118,63732,63762
63748.0,0.15654482217707671,63733,63763
63749.0,0.13990022781357866,63734,63764
63750.0,0.13672029605869992,63735,63765
63751.0,0.13880673335932328,63736,63766
63752.0,0.1442984324861531,63737,63767
63753.0,0.15030912908247798,63738,63768
63754.0,0.1439454067222305,63739,63769
63755.0,0.12113341738526458,63740,63770
63756.0,0.09055684157615876,63741,63771
63757.0,0.05453561080608476,63742,63772
63758.0,0.026212020482703467,63743,63773
63759.0,0.012348556416296699,63744,63774
63760.0,0.006911342051118192,63745,63775
63761.0,0.007097068537456442,63746,63776
63762.0,-0.005429490546973027,63747,63777
63763.0,-0.020755916953842626,63748,63778
63764.0,-0.04832603416696161,63749,63779
63765.0,-0.08672040005890183,63750,63780
63766.0,-0.1178096402735624,63751,63781
63767.0,-0.12357725597066543,63752,63782
63768.0,-0.12444499818652355,63753,63783
63769.0,-0.12388555625133019,63754,63784
63770.0,-0.12181517383663468,63755,63785
63771.0,-0.10880693534852925,63756,63786
63772.0,-0.08792797361233898,63757,63787
63773.0,-0.07083198847110252,63758,63788
63774.0,-0.06239714210211498,63759,63789
63775.0,-0.05754260333939639,63760,63790
63776.0,-0.05386927642986528,63761,63791
63777.0,-0.05139801507338342,63762,63792
63778.0,-0.04212245564821046,63763,63793
63779.0,-0.023358892251346058,63764,63794
63780.0,-0.0031187945755209103,63765,63795
63781.0,0.012414306032691043,63766,63796
63782.0,0.02392600293900833,63767,63797
63783.0,0.029537620861133762,63768,63798
63784.0,0.030556989863059134,63769,63799
63785.0,0.029784798762600227,63770,63800
63786.0,0.03445312086494757,63771,63801
63787.0,0.043397652343372076,63772,63802
63788.0,0.05370590409919833,63773,63803
63789.0,0.05332673484731064,63774,63804
63790.0,0.04879942983815642,63775,63805
63791.0,0.05026532002427721,63776,63806
63792.0,0.04430786045090582,63777,63807
63793.0,0.03503081432307367,63778,63808
63794.0,0.0421050343243363,63779,63809
63795.0,0.04620115356195535,63780,63810
63796.0,0.0459093456950696,63781,63811
63797.0,0.049065602148055235,63782,63812
63798.0,0.05285893939760685,63783,63813
63799.0,0.052208227493803605,63784,63814
63800.0,0.046294170950456744,63785,63815
63801.0,0.03310032787213855,63786,63816
63802.0,0.013761747273282028,63787,63817
63803.0,-0.006794156129389788,63788,63818
63804.0,-0.030146581844846934,63789,63819
63805.0,-0.054388048461730766,63790,63820
63806.0,-0.054846185412039714,63791,63821
63807.0,-0.049832494325461565,63792,63822
63808.0,-0.05095657251974511,63793,63823
63809.0,-0.05189279474000169,63794,63824
63810.0,-0.044320851666384095,63795,63825
63811.0,-0.03580115564526973,63796,63826
63812.0,-0.02386587966965689,63797,63827
63813.0,-0.007866689631144945,63798,63828
63814.0,0.01219753774988407,63799,63829
63815.0,0.03332675328581701,63800,63830
63816.0,0.0372488520354878,63801,63831
63817.0,0.03208075163705687,63802,63832
