LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1759437224.409258,152519.000,21736,3,GZ,1,100,-0.336
1759437224.449259,152559.000,21736,3,GZ,1,100,-0.427
1759437224.496259,152606.000,21753,2,GZ,1,100,-0.214
1759437224.543260,152653.000,21753,2,GZ,1,100,0.061
1759437224.583261,152693.000,21768,3,GZ,1,100,0.000
1759437224.623262,152733.000,21768,3,GZ,1,100,-0.092
1759437224.663263,152773.000,21768,3,GZ,1,100,0.000
1759437224.703264,152813.000,21783,2,GZ,1,100,-0.183
1759437224.743264,152853.000,21783,2,GZ,1,100,-0.153
1759437224.782932,152892.667,21798,3,GZ,1,100,-0.183
1759437224.822599,152932.333,21798,3,GZ,1,100,-0.214
1759437224.862267,152972.000,21798,3,GZ,1,100,-0.183
1759437224.902768,153012.500,21815,2,GZ,1,100,-0.183
1759437224.943269,153053.000,21815,2,GZ,1,100,-0.153
1759437224.982936,153092.667,21830,3,GZ,1,100,-0.092
1759437225.022604,153132.333,21830,3,GZ,1,100,-0.183
1759437225.062271,153172.000,21830,3,GZ,1,100,-0.214
1759437225.102272,153212.000,21845,2,GZ,1,100,-0.214
1759437225.142273,153252.000,21845,2,GZ,1,100,-0.153
1759437225.182273,153292.000,21861,3,GZ,1,100,-0.122
1759437225.222274,153332.000,21861,3,GZ,1,100,-0.122
1759437225.262275,153372.000,21861,3,GZ,1,100,-0.061
1759437225.302276,153412.000,21877,6,GZ,1,100,-0.153
1759437225.342277,153452.000,21877,6,GZ,1,100,-0.183
1759437225.382277,153492.000,21877,6,GZ,1,100,-0.305
1759437225.422278,153532.000,21877,6,GZ,1,100,-0.275
1759437225.462279,153572.000,21877,6,GZ,1,100,-0.305
1759437225.502280,153612.000,21877,6,GZ,1,100,-0.275
1759437225.548781,153658.500,21893,2,GZ,1,100,-0.183
1759437225.595282,153705.000,21893,2,GZ,1,100,0.000
1759437225.635283,153745.000,21908,3,GZ,1,100,-0.122
1759437225.675283,153785.000,21908,3,GZ,1,100,-0.031
1759437225.715284,153825.000,21908,3,GZ,1,100,0.275
1759437225.755785,153865.500,21923,2,GZ,1,100,0.092
1759437225.796286,153906.000,21923,2,GZ,1,100,-0.153
1759437225.836287,153946.000,21940,3,GZ,1,100,-0.092
1759437225.876288,153986.000,21940,3,GZ,1,100,-0.122
1759437225.916288,154026.000,21940,3,GZ,1,100,-0.214
1759437225.956289,154066.000,21955,2,GZ,1,100,-0.214
1759437225.996290,154106.000,21955,2,GZ,1,100,-0.397
1759437226.036291,154146.000,21970,3,GZ,1,100,-0.580
1759437226.076292,154186.000,21970,3,GZ,1,100,-0.214
1759437226.116292,154226.000,21970,3,GZ,1,100,0.000
1759437226.156293,154266.000,21986,2,GZ,1,100,0.092
1759437226.196294,154306.000,21986,2,GZ,1,100,-0.061
1759437226.236295,154346.000,22002,3,GZ,1,100,-0.092
1759437226.276296,154386.000,22002,3,GZ,1,100,-0.061
1759437226.316297,154426.000,22002,3,GZ,1,100,-0.061
1759437226.356297,154466.000,22019,2,GZ,1,100,0.061
1759437226.396298,154506.000,22019,2,GZ,1,100,-0.092
1759437226.436299,154546.000,22034,3,GZ,1,100,-0.275
1759437226.476300,154586.000,22034,3,GZ,1,100,-0.183
1759437226.516301,154626.000,22034,3,GZ,1,100,-0.214
1759437226.556302,154666.000,22050,2,GZ,1,100,0.031
1759437226.596302,154706.000,22050,2,GZ,1,100,0.000
1759437226.640303,154750.000,22066,3,GZ,1,100,-0.305
1759437226.684304,154794.000,22066,3,GZ,1,100,-0.336
1759437226.728305,154838.000,22066,3,GZ,1,100,-0.122
1759437226.768306,154878.000,22081,2,GZ,1,100,-0.305
1759437226.808307,154918.000,22081,2,GZ,1,100,-0.458
1759437226.848307,154958.000,22099,3,GZ,1,100,-0.305
1759437226.888308,154998.000,22099,3,GZ,1,100,-0.061
1759437226.928309,155038.000,22099,3,GZ,1,100,-0.092
1759437226.968310,155078.000,22114,2,GZ,1,100,0.183
1759437227.008311,155118.000,22114,2,GZ,1,100,0.275
1759437227.048311,155158.000,22130,3,GZ,1,100,-0.061
1759437227.088312,155198.000,22130,3,GZ,1,100,-0.214
1759437227.128313,155238.000,22130,3,GZ,1,100,-0.183
1759437227.168314,155278.000,22146,2,GZ,1,100,-0.061
1759437227.208315,155318.000,22146,2,GZ,1,100,-0.275
1759437227.248316,155358.000,22162,3,GZ,1,100,-0.244
1759437227.288316,155398.000,22162,3,GZ,1,100,-0.305
1759437227.328317,155438.000,22162,3,GZ,1,100,-0.610
1759437227.368318,155478.000,22176,2,GZ,1,100,-0.641
1759437227.408319,155518.000,22176,2,GZ,1,100,-0.580
1759437227.448320,155558.000,22193,3,GZ,1,100,-0.488
1759437227.488321,155598.000,22193,3,GZ,1,100,-0.275
1759437227.528321,155638.000,22193,3,GZ,1,100,-0.305
1759437227.568322,155678.000,22208,2,GZ,1,100,-0.336
1759437227.608323,155718.000,22208,2,GZ,1,100,0.275
1759437227.652991,155762.667,22226,3,GZ,1,100,0.183
1759437227.697658,155807.333,22226,3,GZ,1,100,0.000
1759437227.742326,155852.000,22226,3,GZ,1,100,0.214
1759437227.782326,155892.000,22240,2,GZ,1,100,0.366
1759437227.822327,155932.000,22240,2,GZ,1,100,0.061
1759437227.862328,155972.000,22257,3,GZ,1,100,-0.275
1759437227.902329,156012.000,22257,3,GZ,1,100,-0.183
1759437227.942330,156052.000,22257,3,GZ,1,100,-0.122
1759437227.982331,156092.000,22272,2,GZ,1,100,-0.366
1759437228.022331,156132.000,22272,2,GZ,1,100,-0.397
1759437228.062332,156172.000,22288,3,GZ,1,100,-0.336
1759437228.102333,156212.000,22288,3,GZ,1,100,-0.122
1759437228.142334,156252.000,22288,3,GZ,1,100,0.122
1759437228.181835,156291.500,22303,2,GZ,1,100,-0.092
