LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437292.935657,221044.000,32361,1,SF,1,100,65.1660
1759437293.269663,221378.000,32407,1,SF,1,100,64.4121
1759437293.535669,221644.000,32455,1,SF,1,100,63.6670
1759437293.869676,221978.000,32501,1,SF,1,100,62.9305
1759437294.269684,222378.000,32567,1,SF,1,100,64.2847
1759437294.535689,222644.000,32614,1,SF,1,100,63.5411
1759437294.868696,222977.000,32662,1,SF,1,100,64.8883
1759437295.268704,223377.000,32725,1,SF,1,100,64.1377
1759437295.602711,223711.000,32774,1,SF,1,100,63.3957
1759437295.868716,223977.000,32822,1,SF,1,100,64.7446
1759437296.202723,224311.000,32869,1,SF,1,100,63.9956
1759437296.602731,224711.000,32931,1,SF,1,100,63.2553
1759437296.868737,224977.000,32978,1,SF,1,100,62.5236
1759437297.202744,225311.000,33027,1,SF,1,100,63.8826
1759437297.602752,225711.000,33089,1,SF,1,100,63.1436
1759437297.868757,225977.000,33135,1,SF,1,100,62.4131
1759437298.201764,226310.000,33185,1,SF,1,100,63.7734
1759437298.535771,226644.000,33231,1,SF,1,100,63.0356
1759437298.935779,227044.000,33295,1,SF,1,100,62.3064
1759437299.201785,227310.000,33344,1,SF,1,100,63.6679
1759437299.535791,227644.000,33392,1,SF,1,100,65.0137
1759437299.935799,228044.000,33456,1,SF,1,100,66.3438
1759437300.201805,228310.000,33504,1,SF,1,100,65.5764
1759437300.535812,228644.000,33552,1,SF,1,100,66.9000
1759437300.868819,228977.000,33599,1,SF,1,100,66.1261
1759437301.268827,229377.000,33663,1,SF,1,100,67.4434
1759437301.534832,229643.000,33710,1,SF,1,100,66.6632
1759437301.868839,229977.000,33757,1,SF,1,100,65.8921
1759437302.268847,230377.000,33821,1,SF,1,100,67.2121
1759437302.534853,230643.000,33867,1,SF,1,100,66.4346
1759437302.868859,230977.000,33915,1,SF,1,100,65.6660
1759437303.201866,231310.000,33963,1,SF,1,100,66.9887
