LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437232.822429,160932.000,23005,3,PI,1,100,166952
1759437232.862430,160972.000,23005,3,PI,1,100,166959
1759437232.902431,161012.000,23021,2,PI,1,100,166931
1759437232.942432,161052.000,23021,2,PI,1,100,166933
1759437232.982433,161092.000,23037,3,PI,1,100,166967
1759437233.022434,161132.000,23037,3,PI,1,100,166969
1759437233.062434,161172.000,23037,3,PI,1,100,166971
1759437233.102435,161212.000,23052,2,PI,1,100,166967
1759437233.142436,161252.000,23052,2,PI,1,100,166975
1759437233.182437,161292.000,23068,3,PI,1,100,166970
1759437233.222438,161332.000,23068,3,PI,1,100,166979
1759437233.262438,161372.000,23068,3,PI,1,100,166972
1759437233.302439,161412.000,23083,2,PI,1,100,166977
1759437233.342440,161452.000,23083,2,PI,1,100,166967
1759437233.382441,161492.000,23099,3,PI,1,100,166979
1759437233.422442,161532.000,23099,3,PI,1,100,166972
1759437233.462442,161572.000,23099,3,PI,1,100,166977
1759437233.502443,161612.000,23115,2,PI,1,100,166974
1759437233.542444,161652.000,23115,2,PI,1,100,166967
1759437233.582445,161692.000,23130,3,PI,1,100,166982
1759437233.622446,161732.000,23130,3,PI,1,100,167001
1759437233.662446,161772.000,23130,3,PI,1,100,167002
1759437233.702447,161812.000,23145,2,PI,1,100,166978
1759437233.742448,161852.000,23145,2,PI,1,100,166985
1759437233.782449,161892.000,23164,3,PI,1,100,166984
1759437233.822450,161932.000,23164,3,PI,1,100,166993
1759437233.862451,161972.000,23164,3,PI,1,100,167002
1759437233.902452,162012.000,23181,3,PI,1,100,166992
1759437233.942452,162052.000,23181,3,PI,1,100,166979
1759437233.982453,162092.000,23181,3,PI,1,100,166995
1759437234.022454,162132.000,23196,2,PI,1,100,166991
1759437234.062455,162172.000,23196,2,PI,1,100,166999
1759437234.102456,162212.000,23211,3,PI,1,100,166994
1759437234.142456,162252.000,23211,3,PI,1,100,166985
1759437234.182457,162292.000,23211,3,PI,1,100,166989
1759437234.221958,162331.500,23230,2,PI,1,100,166991
1759437234.261459,162371.000,23230,2,PI,1,100,166987
1759437234.301793,162411.333,23245,3,PI,1,100,166988
1759437234.342127,162451.667,23245,3,PI,1,100,166992
1759437234.382461,162492.000,23245,3,PI,1,100,166994
1759437234.421962,162531.500,23260,2,PI,1,100,166984
1759437234.461463,162571.000,23260,2,PI,1,100,166983
1759437234.501464,162611.000,23276,3,PI,1,100,166990
1759437234.541465,162651.000,23276,3,PI,1,100,166986
1759437234.581465,162691.000,23276,3,PI,1,100,166984
1759437234.621466,162731.000,23292,2,PI,1,100,167001
1759437234.661467,162771.000,23292,2,PI,1,100,166996
1759437234.701468,162811.000,23307,3,PI,1,100,167009
1759437234.741469,162851.000,23307,3,PI,1,100,166996
1759437234.781469,162891.000,23307,3,PI,1,100,167000
1759437234.821470,162931.000,23323,2,PI,1,100,167006
1759437234.861471,162971.000,23323,2,PI,1,100,167001
1759437234.901472,163011.000,23338,3,PI,1,100,167019
