t_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
62933,67.32411692713109,66.01854104527368,65.68834516282627,68.92485451857404,74.68467552514406,71.33646151479792,62.07238192118778
62934,64.94014312053393,65.2636752678291,65.32278282038301,68.92856326124752,76.8289210274173,72.44426623903439,63.458036306111765
62935,63.35711978443385,64.78828113273491,65.65911675890858,69.1496455643692,79.75599820311352,73.28883896569873,65.86641786067045
62936,62.934968299846105,64.31340361091671,66.23210544825278,68.93777853603001,83.21137287835677,73.5095040804816,68.08676978307888
62937,63.067212861854,64.86313148856239,66.80509413759698,67.38733131226077,86.7589354715428,73.1126688932925,69.51504087310754
62938,63.51074678663849,64.99681885872262,68.6698334696566,67.59814717116974,90.49577132894652,72.41486859101101,70.9276054802859
62939,62.90722607409592,75.33927323299311,68.41375808784309,68.47004934428155,91.47514079094849,71.26435787260638,71.34726728689873
62940,63.96626077159864,96.26019985391132,67.95536713640095,68.91876388174208,90.35531372437252,70.75362307715714,70.18097958690294
62941,64.70773001081221,110.18606567820372,68.69725989810104,68.61045435120542,89.54417623986441,70.76814637476882,69.3329555525183
62942,64.52176058005692,117.04684494442724,69.53225961158408,67.81617853259635,86.76987548923043,71.0744942931663,68.77851818630043
62943,64.43307658876847,117.15041547330104,68.76882354091599,66.3573524586782,83.00057336607628,71.77377355915695,67.21320913045152
62944,65.53100597037756,107.09687431073635,69.81951704268526,66.40896968996832,80.25753486789348,71.84194097348234,65.16451190104485
62945,65.07856431428915,86.50640257057412,70.76584097264745,66.35604440397907,78.45862318459584,71.51610133395039,65.74686932650675
62946,65.22762797727505,72.51557684713259,70.20519604803167,66.73733294714798,75.79707854863004,71.02630364661552,68.9123968040977
62947,65.4728478355253,65.12439714041179,68.89383223336932,66.93088194381485,74.63243905469933,70.48277322232886,71.88407387920121
62948,65.48242922535675,65.54779895839197,67.8297104405761,67.49423127391375,74.5973348563451,69.6853392116328,73.28090790454304
62949,64.63665890414534,65.51329794521689,67.12169815560875,68.88458676527561,76.0354038635632,69.28334096398186,72.7639534422999
62950,64.37429545814324,65.50854189975173,66.5949070464264,70.61517193327941,78.99959560976842,68.85044569038084,70.1651327017023
62951,64.75740899529099,65.08071008847203,66.97402838413942,71.00694826986577,82.36212516578864,68.54475244713798,65.7763373930778
62952,64.94116514280668,64.98715975792064,68.60998896557564,71.08406624487748,85.63056955744351,68.51211982571621,61.92646919660878
62953,65.67030322033398,65.51659028939166,70.90461997203809,70.0698196000919,87.84655019265406,68.81088015104058,59.42755015070155
62954,67.06694370320415,65.99247662762787,71.90169043807967,67.37482885697773,88.65814834520457,69.49854648625008,58.64183153574892
62955,68.82266205411347,66.35468832843343,72.0686407024962,66.19923224436324,87.31782769929545,70.50795459929353,59.365349260075675
62956,70.46509959335212,67.34380056891624,71.36794185453554,68.6936880909806,84.82012777821458,70.93444382752446,62.069383114105264
62957,70.59223775696901,68.19509300447422,69.64150840234467,73.49696968583216,82.01751079691901,71.03734514903324,65.91599013250062
62958,69.44100783793974,67.75584824833429,67.66599660259797,77.46930645873803,78.58687722950192,70.90737053752716,69.73315259104125
62959,68.61355275390947,67.99561080873033,67.28876993478578,79.27091214604904,72.64580456016591,70.34142408399862,72.39915088075665
62960,66.98065218737662,68.86668221715192,68.21727639215314,78.9933996931718,66.86829462489352,69.57519846975447,73.18448031076296
62961,65.07479741887417,68.6879180121928,69.76435361434184,75.98388878204678,65.76111383343746,69.18078870446372,71.6284038589239
62962,65.27693055902031,68.73224572286185,71.60946839848253,71.5240081839365,68.87653769851148,69.56514821369832,67.91488397845232
62963,65.72566936644812,67.85683618405741,73.03975631082633,68.94127290822739,73.91045296960601,70.34224422358287,63.50049783630719
62964,67.51697494292031,66.76501239607546,73.13864004955724,69.36163604687383,81.94046834186736,70.55207185790941,60.210511159401776
62965,69.35070474165731,65.45677435891594,72.1420772282082,70.31139413721363,90.22769166319536,70.74579458879975,58.48072683089174
62966,69.74966495431349,65.32551209040176,70.55717740659948,70.72311016405533,93.28168667340782,71.45941067584867,57.956608950236635
62967,70.07200207573018,65.10566115958322,69.02623320794233,69.91436099064303,91.23561369217651,72.41046347523049,58.83411034869899
62968,71.31514979156539,65.58913322906064,67.59136515760186,68.24021260788717,86.81957024098658,71.92161162461323,62.197522963328744
62969,70.24607642626984,66.71489046121499,68.02381907361504,65.26022837192716,81.82297644686294,71.67362440244183,66.96951041126897
62970,68.84271474958113,67.32291667495096,68.71228813708593,63.22266268351202,77.75747043744639,71.7298102725691,70.80031455099027
62971,70.31865344534894,67.40785329157897,70.55558088789455,62.43664565930118,75.13884112595834,72.04310751322477,72.63414454827118
62972,70.63973952379536,66.84048457314951,71.82589239103812,63.40193338362813,73.83392819272693,72.42362103114898,72.39600807481321
62973,70.04694302045024,67.30032855164043,72.79581910811791,65.83917735918966,74.16319269182665,72.88627231652045,69.70402499878867
62974,69.72625580615292,66.51995190442781,72.03865806646394,70.6046079442481,75.5923473165915,73.3615782600633,65.56617898943546
62975,71.49570974642606,65.58157538931411,71.75483494156148,73.93200510745773,78.89319831371549,73.97991448528623,61.897847791302944
62976,70.46513092894455,65.94905551090326,69.68459937248063,75.6803216748928,82.22250269359742,75.60566119118752,59.57978412695089
62977,70.00199987059493,66.39811075429546,68.27960044689539,75.63787092323489,85.51030540633563,75.88778143546315,58.884846548914425
62978,70.18371954780741,66.06988164054815,66.87878925012527,73.79630645243033,88.41714845389156,75.83207695828179,59.0879470654563
62979,70.35103691463051,65.2685034732954,67.00488944137132,70.70771964637922,89.37487196317868,76.19102392420689,59.56139099226533
62980,68.98425083546809,65.19578802511536,67.8328245505113,69.51357285136132,87.87469250033679,76.47647062491042,60.273297755681824
62981,67.81509501181517,64.39323737009364,70.21642683877478,68.93934540796002,85.04801654933233,75.3070359619588,61.437462564116856
62982,66.79964689841903,64.2143487610796,70.6490846937356,68.39462430253305,81.64801599565126,74.48468165504976,64.05769860691814
62983,66.1168528110605,63.83846364503795,72.6323357882048,67.57062181849973,78.5810610629372,74.39776233825987,67.25689764040547
62984,66.36743799875602,64.8064130817226,72.88496745308248,66.36144328426924,76.34078866009172,74.31084302146999,70.06360704125419
62985,65.84953422619992,65.20445453061762,71.39167409646328,65.38196484727155,75.66414912081393,73.92102592663754,71.15837636538836
62986,66.92018180220558,65.25162326898376,68.73664070093263,66.33659914355347,77.26297895073859,72.51737579300678,70.5512644364209
62987,67.43916698356806,65.7548626811197,68.13397866716609,67.3626763268077,80.45406131428138,70.09989262057772,67.68533763698892
62988,66.63995372843138,66.02403353452927,65.59456053783371,67.95871264185483,84.42533425568223,66.94350272759392,63.54508597706136
62989,65.22749063648736,65.73681605477063,64.58893159059244,69.3446881480341,87.94668442217929,65.16571288202051,59.41414209177363
62990,64.43319934815142,65.56804272880899,63.866540280149614,68.0748948305049,89.69072325069779,65.06942086190007,56.58409065311506
62991,62.46370172593366,65.67059307293763,64.91597957088554,66.14601916622014,89.65745074123777,68.75737091187234,54.27318158269783
62992,61.52211413812697,65.23752370285784,65.77684950045303,66.28243228781511,87.70723344632574,75.30109890733772,54.1272616774743
62993,61.40820063053186,64.95897385106578,67.74015639292652,68.2359896025698,83.86708641452246,81.91144312764777,54.82445768686117
62994,61.277284766429624,64.93744508856223,68.7623992384498,68.29497592705427,80.85883820068577,87.28772170433092,56.46815736024597
62995,61.355250066838366,65.28783111961265,69.98110988681111,68.88750122299959,78.7036387087265,91.35353377472909,59.863792271657
62996,62.01222579071009,65.75358861167658,68.89647017071354,68.67623772080677,77.88374888500337,93.61110655279896,64.61658091175252
62997,62.23139020026092,65.6248799510283,67.73151683890191,67.31273261961283,78.53880217698985,94.09334410709444,67.63690060611283
62998,61.81440783859206,65.85183010137428,66.00049048519799,66.81316808809399,80.88693326628027,93.53546169815,69.86833263671592
62999,61.98785928053347,65.96358358680529,64.6068703081489,68.87688211733867,83.73847520584026,91.66730609226616,70.38004099056107
63000,61.93856523082639,65.95732868807825,63.68776085231161,69.85783349093809,85.4053766487996,91.48833350726366,70.33818501490549
63001,61.52411718845852,65.63782274482716,63.643864566575765,72.2186258028096,87.07227809175896,89.61540273957932,69.26236717883836
