subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63691.597926705275,63701.67680528503,63696.63736599515,216.91733210998063,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63692.60682346,63702.685702039766,63697.646262749884,217.92622886471509,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63693.61572021474,63703.69459879449,63698.65515950462,218.93512561944954,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63694.624616969464,63704.70349554923,63699.664056259346,219.9440223741767,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63695.6335137242,63705.712392303954,63700.67295301407,220.9529191289039,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63696.642410478926,63706.72128905869,63701.68184976881,221.96181588363834,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63697.65130723366,63707.730185813416,63702.69074652354,222.9707126383728,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63698.66020398839,63708.73908256815,63703.69964327827,223.97960939309996,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63699.66910074312,63709.74797932288,63704.708540032996,224.98850614782714,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63700.67799749785,63710.75687607761,63705.71743678773,225.9974029025616,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63701.68689425258,63711.76577283234,63706.726333542465,227.00629965729604,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63702.69579100731,63712.774669587074,63707.73523029719,228.01519641202322,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63703.704687762045,63713.7835663418,63708.74412705192,229.0240931667504,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63704.71358451677,63714.792463096535,63709.753023806654,230.03298992148484,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63705.72248127151,63715.80135985126,63710.76192056139,231.0418866762193,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63706.731378026234,63716.81025660599,63711.77081731611,232.0507834309392,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63707.74027478097,63717.819153360724,63712.77971407084,233.05968018567364,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63708.749171535695,63718.82805011545,63713.78861082558,234.0685769404081,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63709.75806829042,63719.836946870186,63714.797507580304,235.07747369513527,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63710.76696504516,63720.84584362491,63715.80640433503,236.08637044986244,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63711.775861799884,63721.85474037965,63716.815301089766,237.0952672045969,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63712.78475855462,63722.863637134375,63717.8241978445,238.10416395933134,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63713.793655309346,63723.87253388911,63718.83309459923,239.11306071405852,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63714.80255206408,63724.881430643836,63719.841991353955,240.1219574687857,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63715.81144881881,63725.89032739857,63720.85088810869,241.13085422352015,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63716.82034557354,63726.8992241533,63721.85978486342,242.1397509782546,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63717.82924232827,63727.90812090803,63722.86868161815,243.14864773298177,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63718.838139083,63728.91701766276,63723.87757837288,244.15754448770895,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63719.84703583773,63729.925914417494,63724.88647512761,245.1664412424434,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63720.855932592465,63730.93481117222,63725.89537188235,246.17533799717785,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63721.86482934719,63731.943707926956,63726.904268637074,247.18423475190502,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63722.87372610193,63732.95260468168,63727.9131653918,248.1931315066322,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63723.882622856654,63733.96150143642,63728.922062146536,249.20202826136665,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63724.89151961139,63734.970398191144,63729.93095890127,250.2109250161011,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63725.900416366116,63735.97929494588,63730.939855656,251.21982177082828,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63726.90931312085,63736.988191700606,63731.948752410724,252.22871852555545,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63727.91820987558,63737.99708845533,63732.95764916546,253.2376152802899,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63728.927106630304,63739.00598521007,63733.966545920186,254.24651203501708,10.0,1.0,True,0.5,8.0
