LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1759437269.894360,205185.000,30423,1,SR,1,100,0.200000
1759437270.227379,205518.000,30455,1,SR,1,100,0.066667
1759437270.560398,205851.000,30551,1,SR,1,100,0.266667
1759437271.226436,206517.000,30631,1,SR,1,100,0.133333
1759437271.627459,206918.000,30682,1,SR,1,100,0.066667
1759437271.827470,207118.000,30746,1,SR,1,100,0.266667
1759437272.227493,207518.000,30810,1,SR,1,100,0.266667
1759437272.893531,208184.000,30890,1,SR,1,100,0.133333
1759437273.160546,208451.000,30922,1,SR,1,100,0.066667
1759437273.360557,208651.000,30972,1,SR,1,100,0.133333
1759437273.627572,208918.000,31005,1,SR,1,100,0.133333
1759437273.893587,209184.000,31116,1,SR,1,100,0.533333
1759437274.693633,209984.000,31167,1,SR,1,100,0.066667
1759437274.893644,210184.000,31231,1,SR,1,100,0.200000
1759437275.626686,210917.000,31357,1,SR,1,100,0.266667
1759437276.559739,211850.000,31472,1,SR,1,100,0.133333
1759437276.959762,212250.000,31536,1,SR,1,100,0.133333
1759437277.359784,212650.000,31618,1,SR,1,100,0.200000
1759437277.693803,212984.000,31666,1,SR,1,100,0.133333
1759437278.093826,213384.000,31716,1,SR,1,100,0.066667
1759437278.293837,213584.000,31766,1,SR,1,100,0.200000
1759437278.759864,214050.000,31830,1,SR,1,100,0.066667
1759437279.226890,214517.000,31943,1,SR,1,100,0.333333
1759437279.959932,215250.000,32072,1,SR,1,100,0.400000
1759437280.626970,215917.000,32137,1,SR,1,100,0.200000
1759437281.092996,216383.000,32217,1,SR,1,100,0.200000
1759437281.693030,216983.000,32300,1,SR,1,100,0.133333
1759437282.093053,217383.000,32410,1,SR,1,100,0.466667
1759437282.826095,218116.000,32474,1,SR,1,100,0.066667
1759437283.160114,218450.000,32542,1,SR,1,100,0.200000
1759437283.494133,218784.000,32623,1,SR,1,100,0.400000
1759437284.559193,219849.000,32798,1,SR,1,100,0.400000
