LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437224.976810,160270.000,23227,3,PR,1,100,132954
1759437225.016812,160310.000,23244,2,PR,1,100,132962
1759437225.056814,160350.000,23244,2,PR,1,100,132942
1759437225.096817,160390.000,23258,3,PR,1,100,132938
1759437225.136819,160430.000,23258,3,PR,1,100,132958
1759437225.176821,160470.000,23258,3,PR,1,100,132921
1759437225.216823,160510.000,23274,2,PR,1,100,132943
1759437225.256826,160550.000,23274,2,PR,1,100,132923
1759437225.296828,160590.000,23292,3,PR,1,100,132922
1759437225.336830,160630.000,23292,3,PR,1,100,132932
1759437225.376832,160670.000,23292,3,PR,1,100,132927
1759437225.416835,160710.000,23308,2,PR,1,100,132922
1759437225.456837,160750.000,23308,2,PR,1,100,132918
1759437225.496839,160790.000,23323,3,PR,1,100,132900
1759437225.536842,160830.000,23323,3,PR,1,100,132920
1759437225.576844,160870.000,23323,3,PR,1,100,132903
1759437225.616846,160910.000,23341,3,PR,1,100,132913
1759437225.656848,160950.000,23341,3,PR,1,100,132909
1759437225.696851,160990.000,23341,3,PR,1,100,132913
1759437225.736853,161030.000,23358,2,PR,1,100,132913
1759437225.776855,161070.000,23358,2,PR,1,100,132904
1759437225.816858,161110.000,23374,3,PR,1,100,132905
1759437225.856860,161150.000,23374,3,PR,1,100,132904
1759437225.896862,161190.000,23374,3,PR,1,100,132882
1759437225.936864,161230.000,23389,2,PR,1,100,132904
1759437225.976867,161270.000,23389,2,PR,1,100,132887
1759437226.016869,161310.000,23407,3,PR,1,100,132888
1759437226.056871,161350.000,23407,3,PR,1,100,132891
1759437226.096874,161390.000,23407,3,PR,1,100,132895
1759437226.136876,161430.000,23422,2,PR,1,100,132906
1759437226.176878,161470.000,23422,2,PR,1,100,132885
1759437226.223381,161516.500,23438,2,PR,1,100,132884
1759437226.269883,161563.000,23438,2,PR,1,100,132886
1759437226.309886,161603.000,23454,3,PR,1,100,132911
1759437226.349888,161643.000,23454,3,PR,1,100,132893
1759437226.389890,161683.000,23454,3,PR,1,100,132875
1759437226.429892,161723.000,23469,3,PR,1,100,132898
1759437226.469895,161763.000,23469,3,PR,1,100,132900
1759437226.509897,161803.000,23469,3,PR,1,100,132895
1759437226.549899,161843.000,23484,2,PR,1,100,132882
1759437226.589901,161883.000,23484,2,PR,1,100,132902
1759437226.629904,161923.000,23501,3,PR,1,100,132885
1759437226.669906,161963.000,23501,3,PR,1,100,132892
1759437226.709908,162003.000,23501,3,PR,1,100,132881
1759437226.749911,162043.000,23518,2,PR,1,100,132891
1759437226.789913,162083.000,23518,2,PR,1,100,132864
1759437226.829915,162123.000,23533,3,PR,1,100,132879
1759437226.869917,162163.000,23533,3,PR,1,100,132894
1759437226.909920,162203.000,23533,3,PR,1,100,132876
1759437226.949922,162243.000,23548,2,PR,1,100,132880
1759437226.989924,162283.000,23548,2,PR,1,100,132897
1759437227.029926,162323.000,23567,3,PR,1,100,132877
1759437227.069929,162363.000,23567,3,PR,1,100,132889
1759437227.109931,162403.000,23567,3,PR,1,100,132892
1759437227.149933,162443.000,23582,2,PR,1,100,132893
1759437227.189935,162483.000,23582,2,PR,1,100,132878
1759437227.229938,162523.000,23597,3,PR,1,100,132891
1759437227.269940,162563.000,23597,3,PR,1,100,132909
1759437227.309942,162603.000,23597,3,PR,1,100,132892
1759437227.349945,162643.000,23613,2,PR,1,100,132886
1759437227.389947,162683.000,23613,2,PR,1,100,132907
1759437227.429949,162723.000,23631,3,PR,1,100,132882
1759437227.469951,162763.000,23631,3,PR,1,100,132891
1759437227.509954,162803.000,23631,3,PR,1,100,132882
1759437227.549956,162843.000,23646,2,PR,1,100,132867
1759437227.589958,162883.000,23646,2,PR,1,100,132878
1759437227.629961,162923.000,23663,3,PR,1,100,132867
1759437227.669963,162963.000,23663,3,PR,1,100,132889
1759437227.709965,163003.000,23663,3,PR,1,100,132888
1759437227.749967,163043.000,23679,2,PR,1,100,132894
1759437227.789970,163083.000,23679,2,PR,1,100,132912
1759437227.829972,163123.000,23695,3,PR,1,100,132901
1759437227.869974,163163.000,23695,3,PR,1,100,132909
1759437227.909976,163203.000,23695,3,PR,1,100,132912
1759437227.949979,163243.000,23713,3,PR,1,100,132903
1759437227.989981,163283.000,23713,3,PR,1,100,132905
1759437228.029983,163323.000,23713,3,PR,1,100,132911
1759437228.069985,163363.000,23729,2,PR,1,100,132913
1759437228.109988,163403.000,23729,2,PR,1,100,132897
1759437228.149990,163443.000,23743,3,PR,1,100,132901
1759437228.189992,163483.000,23743,3,PR,1,100,132920
1759437228.229995,163523.000,23743,3,PR,1,100,132902
1759437228.269997,163563.000,23761,2,PR,1,100,132921
1759437228.309999,163603.000,23761,2,PR,1,100,132913
1759437228.356502,163649.500,23777,2,PR,1,100,132908
1759437228.403004,163696.000,23777,2,PR,1,100,132919
1759437228.443007,163736.000,23793,3,PR,1,100,132915
1759437228.483009,163776.000,23793,3,PR,1,100,132904
1759437228.523011,163816.000,23793,3,PR,1,100,132922
1759437228.563014,163856.000,23807,2,PR,1,100,132934
1759437228.603016,163896.000,23807,2,PR,1,100,132927
1759437228.643018,163936.000,23824,3,PR,1,100,132926
1759437228.683020,163976.000,23824,3,PR,1,100,132941
1759437228.723022,164016.000,23824,3,PR,1,100,132943
1759437228.763025,164056.000,23839,2,PR,1,100,132926
1759437228.803027,164096.000,23839,2,PR,1,100,132937
1759437228.843029,164136.000,23855,3,PR,1,100,132929
1759437228.883032,164176.000,23855,3,PR,1,100,132924
1759437228.923034,164216.000,23855,3,PR,1,100,132951
1759437228.963036,164256.000,23870,3,PR,1,100,132954
1759437229.003038,164296.000,23870,3,PR,1,100,132951
1759437229.043041,164336.000,23870,3,PR,1,100,132938
1759437229.083043,164376.000,23886,2,PR,1,100,132967
1759437229.123045,164416.000,23886,2,PR,1,100,132958
1759437229.163048,164456.000,23903,3,PR,1,100,132955
1759437229.203050,164496.000,23903,3,PR,1,100,132970
1759437229.243052,164536.000,23903,3,PR,1,100,132969
1759437229.283054,164576.000,23919,2,PR,1,100,132959
1759437229.323057,164616.000,23919,2,PR,1,100,132981
1759437229.363059,164656.000,23936,3,PR,1,100,132991
1759437229.403061,164696.000,23936,3,PR,1,100,132967
1759437229.443063,164736.000,23936,3,PR,1,100,132959
1759437229.483066,164776.000,23952,2,PR,1,100,132985
1759437229.523068,164816.000,23952,2,PR,1,100,132979
1759437229.563070,164856.000,23969,3,PR,1,100,132977
1759437229.603072,164896.000,23969,3,PR,1,100,132980
1759437229.643075,164936.000,23969,3,PR,1,100,132982
1759437229.683077,164976.000,23986,2,PR,1,100,132974
1759437229.723079,165016.000,23986,2,PR,1,100,132995
1759437229.763082,165056.000,24002,3,PR,1,100,132998
1759437229.803084,165096.000,24002,3,PR,1,100,132993
1759437229.843086,165136.000,24002,3,PR,1,100,132997
1759437229.883088,165176.000,24018,2,PR,1,100,133028
1759437229.923091,165216.000,24018,2,PR,1,100,133014
1759437229.963093,165256.000,24034,3,PR,1,100,133002
1759437230.003095,165296.000,24034,3,PR,1,100,133017
1759437230.043097,165336.000,24034,3,PR,1,100,133021
1759437230.083100,165376.000,24050,2,PR,1,100,133009
1759437230.123102,165416.000,24050,2,PR,1,100,133020
1759437230.163104,165456.000,24065,3,PR,1,100,133038
1759437230.203107,165496.000,24065,3,PR,1,100,133032
1759437230.243109,165536.000,24065,3,PR,1,100,133028
