t_start,t_end,t_center,sync
63575,63605,63590.0,0.044911837080959686
63576,63606,63591.0,0.031167694353770085
63577,63607,63592.0,-0.06712674066002473
63578,63608,63593.0,-0.12346283071186352
63579,63609,63594.0,-0.14206189627854854
63580,63610,63595.0,-0.15056810491294276
63581,63611,63596.0,-0.1347798418340521
63582,63612,63597.0,-0.10551960700651167
63583,63613,63598.0,-0.113802370119967
63584,63614,63599.0,-0.11896698461439556
63585,63615,63600.0,-0.14529379258855488
63586,63616,63601.0,-0.16603215440429414
63587,63617,63602.0,-0.14825579830807473
63588,63618,63603.0,-0.10338727862095347
63589,63619,63604.0,-0.06959682974695078
63590,63620,63605.0,-0.06570683709592397
63591,63621,63606.0,-0.06831071353651211
63592,63622,63607.0,-0.0786259332352046
63593,63623,63608.0,-0.0771194864478075
63594,63624,63609.0,-0.08298879039699647
63595,63625,63610.0,-0.09723795276632875
63596,63626,63611.0,-0.04335052428451746
63597,63627,63612.0,-0.03124979730305528
63598,63628,63613.0,-0.01592464125989401
63599,63629,63614.0,0.0036356943663482517
63600,63630,63615.0,-0.02138415962999214
63601,63631,63616.0,0.03995484319207201
63602,63632,63617.0,0.04246181742869868
63603,63633,63618.0,0.09728035271106872
63604,63634,63619.0,0.12479164322189956
63605,63635,63620.0,0.09778341933636518
63606,63636,63621.0,0.149233515522178
63607,63637,63622.0,0.13916547669969703
63608,63638,63623.0,0.12097624290848952
63609,63639,63624.0,0.09920795731310013
63610,63640,63625.0,0.061371854222788874
63611,63641,63626.0,0.03957420528333682
63612,63642,63627.0,0.0011078010980412369
63613,63643,63628.0,-0.01021329618521218
63614,63644,63629.0,0.022674724204413105
63615,63645,63630.0,0.011697938875827228
63616,63646,63631.0,0.0264613312505095
63617,63647,63632.0,0.10582279682386997
63618,63648,63633.0,0.20825024610783496
63619,63649,63634.0,0.24602727755053755
63620,63650,63635.0,0.26389537542624497
63621,63651,63636.0,0.22297040152108877
63622,63652,63637.0,0.14459843477489656
63623,63653,63638.0,0.053666650819678856
63624,63654,63639.0,0.020852863071302893
63625,63655,63640.0,0.1316250663790816
63626,63656,63641.0,0.20329763131855422
63627,63657,63642.0,0.21958226376835596
63628,63658,63643.0,0.1467404788988078
63629,63659,63644.0,0.007553527626717588
63630,63660,63645.0,0.0007588714926684612
63631,63661,63646.0,0.009539447102398336
63632,63662,63647.0,0.05130715395633585
63633,63663,63648.0,0.08396954273581894
63634,63664,63649.0,0.015212555858927754
63635,63665,63650.0,-0.05508182409068143
63636,63666,63651.0,-0.0692291182716695
63637,63667,63652.0,-0.028012381007721802
63638,63668,63653.0,0.036551166390072144
63639,63669,63654.0,0.052828314423046654
63640,63670,63655.0,0.022935993404341642
63641,63671,63656.0,0.07881298388581133
63642,63672,63657.0,0.15318759461137993
63643,63673,63658.0,0.17845392999392892
63644,63674,63659.0,0.2174602859263975
63645,63675,63660.0,0.1942477065001868
63646,63676,63661.0,0.16572004240177596
63647,63677,63662.0,0.1522151623305812
63648,63678,63663.0,0.1654486900373952
63649,63679,63664.0,0.1705516543962084
63650,63680,63665.0,0.1519278525929629
63651,63681,63666.0,0.0923999250276164
63652,63682,63667.0,0.07525844339355683
63653,63683,63668.0,0.07766758519923049
63654,63684,63669.0,0.01256618528747215
63655,63685,63670.0,0.08148954641972754
63656,63686,63671.0,0.15237054013524595
63657,63687,63672.0,0.14371732493054712
63658,63688,63673.0,0.03306748589178818
63659,63689,63674.0,0.04051146229222827
63660,63690,63675.0,0.009655336432375384
63661,63691,63676.0,0.04302769962526626
63662,63692,63677.0,0.0932127701509808
63663,63693,63678.0,0.13939358776457278
63664,63694,63679.0,0.1824286555695956
63665,63695,63680.0,0.09397649891234318
63666,63696,63681.0,0.15213969287778173
63667,63697,63682.0,0.17006283832290722
63668,63698,63683.0,0.17162893140546592
63669,63699,63684.0,0.17935681902964384
63670,63700,63685.0,0.2297317277632088
63671,63701,63686.0,0.2185507479030228
63672,63702,63687.0,0.19909629126201212
63673,63703,63688.0,0.2222875219161577
63674,63704,63689.0,0.17814756008942714
63675,63705,63690.0,0.16186472268130417
63676,63706,63691.0,0.1314453669843295
63677,63707,63692.0,0.08836643964877236
63678,63708,63693.0,0.0675193012796262
63679,63709,63694.0,0.048016366935736916
63680,63710,63695.0,-0.016500586080937355
63681,63711,63696.0,-0.00039674027120449227
63682,63712,63697.0,-0.00309519718607635
63683,63713,63698.0,-0.02356545221181793
63684,63714,63699.0,-0.015272238877123511
63685,63715,63700.0,0.010309910805414732
