LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1032510.050750,1032510.050748,1760462439.863621,120855.000,16682,1,EA,1,100,0.132998
1032510.117255,1032510.117253,1760462439.930126,120921.500,16699,2,EA,1,100,0.132960
1032510.183760,1032510.183758,1760462439.996631,120988.000,16699,2,EA,1,100,0.132934
1032510.250765,1032510.250763,1760462440.063636,121055.000,16713,1,EA,1,100,0.132919
1032510.317270,1032510.317268,1760462440.130141,121121.500,16729,2,EA,1,100,0.132901
1032510.383775,1032510.383773,1760462440.196646,121188.000,16729,2,EA,1,100,0.132871
1032510.450280,1032510.450278,1760462440.263151,121254.500,16745,2,EA,1,100,0.132858
1032510.516785,1032510.516783,1760462440.329656,121321.000,16745,2,EA,1,100,0.132860
1032510.583790,1032510.583788,1760462440.396662,121388.000,16761,1,EA,1,100,0.132848
1032510.650295,1032510.650293,1760462440.463167,121454.500,16777,2,EA,1,100,0.132840
1032510.716800,1032510.716798,1760462440.529672,121521.000,16777,2,EA,1,100,0.132827
1032510.783805,1032510.783803,1760462440.596677,121588.000,16793,1,EA,1,100,0.132848
1032510.850310,1032510.850308,1760462440.663182,121654.500,16812,2,EA,1,100,0.132858
1032510.916815,1032510.916813,1760462440.729687,121721.000,16812,2,EA,1,100,0.132837
1032510.983820,1032510.983818,1760462440.796693,121788.000,16828,1,EA,1,100,0.132827
1032511.050325,1032511.050323,1760462440.863198,121854.500,16842,2,EA,1,100,0.132810
1032511.116830,1032511.116828,1760462440.929703,121921.000,16842,2,EA,1,100,0.132799
1032511.183835,1032511.183833,1760462440.996708,121988.000,16861,1,EA,1,100,0.132789
1032511.250340,1032511.250338,1760462441.063213,122054.500,16876,2,EA,1,100,0.132789
1032511.316845,1032511.316843,1760462441.129718,122121.000,16876,2,EA,1,100,0.132777
1032511.383850,1032511.383848,1760462441.196723,122188.000,16892,1,EA,1,100,0.132759
1032511.450355,1032511.450353,1760462441.263229,122254.500,16908,2,EA,1,100,0.132746
1032511.516860,1032511.516858,1760462441.329734,122321.000,16908,2,EA,1,100,0.132728
1032511.583865,1032511.583863,1760462441.396739,122388.000,16923,1,EA,1,100,0.132726
1032511.650370,1032511.650368,1760462441.463244,122454.500,16938,2,EA,1,100,0.132708
1032511.716875,1032511.716873,1760462441.529749,122521.000,16938,2,EA,1,100,0.132713
1032511.783380,1032511.783378,1760462441.596254,122587.500,16957,2,EA,1,100,0.132723
1032511.849885,1032511.849883,1760462441.662759,122654.000,16957,2,EA,1,100,0.132736
1032511.916890,1032511.916888,1760462441.729764,122721.000,16975,1,EA,1,100,0.132746
1032511.983395,1032511.983393,1760462441.796270,122787.500,16990,2,EA,1,100,0.132728
1032512.049900,1032512.049898,1760462441.862775,122854.000,16990,2,EA,1,100,0.132723
1032512.116905,1032512.116903,1760462441.929780,122921.000,17005,1,EA,1,100,0.132713
1032512.183410,1032512.183408,1760462441.996285,122987.500,17022,2,EA,1,100,0.132693
1032512.249915,1032512.249913,1760462442.062790,123054.000,17022,2,EA,1,100,0.132673
1032512.316920,1032512.316918,1760462442.129796,123121.000,17037,1,EA,1,100,0.132665
1032512.383425,1032512.383423,1760462442.196301,123187.500,17054,2,EA,1,100,0.132670
1032512.449930,1032512.449928,1760462442.262806,123254.000,17054,2,EA,1,100,0.132657
1032512.516935,1032512.516933,1760462442.329811,123321.000,17070,1,EA,1,100,0.132650
1032512.583440,1032512.583438,1760462442.396316,123387.500,17086,2,EA,1,100,0.132657
1032512.649944,1032512.649943,1760462442.462821,123454.000,17086,2,EA,1,100,0.132675
1032512.716950,1032512.716948,1760462442.529826,123521.000,17101,1,EA,1,100,0.132685
1032512.783454,1032512.783453,1760462442.596332,123587.500,17117,2,EA,1,100,0.132693
1032512.849959,1032512.849957,1760462442.662837,123654.000,17117,2,EA,1,100,0.132700
1032512.916964,1032512.916963,1760462442.729842,123721.000,17137,1,EA,1,100,0.132705
1032512.983469,1032512.983467,1760462442.796347,123787.500,17153,2,EA,1,100,0.132736
1032513.049974,1032513.049972,1760462442.862852,123854.000,17153,2,EA,1,100,0.132736
1032513.116979,1032513.116977,1760462442.929857,123921.000,17171,1,EA,1,100,0.132751
1032513.183484,1032513.183482,1760462442.996362,123987.500,17189,2,EA,1,100,0.132754
1032513.249989,1032513.249987,1760462443.062867,124054.000,17189,2,EA,1,100,0.132711
1032513.316994,1032513.316992,1760462443.129873,124121.000,17204,1,EA,1,100,0.132673
1032513.383499,1032513.383497,1760462443.196378,124187.500,17222,2,EA,1,100,0.132667
1032513.450004,1032513.450002,1760462443.262883,124254.000,17222,2,EA,1,100,0.132667
1032513.517009,1032513.517007,1760462443.329888,124321.000,17238,1,EA,1,100,0.132688
1032513.583514,1032513.583512,1760462443.396393,124387.500,17254,2,EA,1,100,0.132705
1032513.650019,1032513.650017,1760462443.462898,124454.000,17254,2,EA,1,100,0.132718
1032513.717024,1032513.717022,1760462443.529904,124521.000,17268,1,EA,1,100,0.132741
1032513.783529,1032513.783527,1760462443.596409,124587.500,17286,2,EA,1,100,0.132754
1032513.850034,1032513.850032,1760462443.662914,124654.000,17286,2,EA,1,100,0.132751
1032513.916539,1032513.916537,1760462443.729419,124720.500,17303,2,EA,1,100,0.132761
1032513.983044,1032513.983042,1760462443.795924,124787.000,17303,2,EA,1,100,0.132782
1032514.050049,1032514.050047,1760462443.862929,124854.000,17321,1,EA,1,100,0.132789
1032514.117054,1032514.117052,1760462443.929935,124921.000,17336,2,EA,1,100,0.132774
1032514.184059,1032514.184057,1760462443.996940,124988.000,17336,2,EA,1,100,0.132792
1032514.250064,1032514.250062,1760462444.062945,125054.000,17352,1,EA,1,100,0.132815
1032514.316569,1032514.316567,1760462444.129450,125120.500,17367,2,EA,1,100,0.132810
1032514.383074,1032514.383072,1760462444.195955,125187.000,17367,2,EA,1,100,0.132825
1032514.450079,1032514.450077,1760462444.262960,125254.000,17383,1,EA,1,100,0.132843
1032514.516584,1032514.516582,1760462444.329465,125320.500,17398,2,EA,1,100,0.132855
