LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032504.226405,1032504.226404,1760462434.039262,115031.091,15762,11,PG,1,100,7510
1032504.236133,1032504.236132,1760462434.048990,115040.818,15762,11,PG,1,100,7495
1032504.245861,1032504.245860,1760462434.058718,115050.545,15762,11,PG,1,100,7464
1032504.255589,1032504.255588,1760462434.068446,115060.273,15762,11,PG,1,100,7523
1032504.265317,1032504.265316,1760462434.078174,115070.000,15762,11,PG,1,100,7464
1032504.275652,1032504.275650,1760462434.088508,115080.333,15778,9,PG,1,100,7480
1032504.285986,1032504.285984,1760462434.098842,115090.667,15778,9,PG,1,100,7478
1032504.296320,1032504.296318,1760462434.109176,115101.000,15778,9,PG,1,100,7468
1032504.306654,1032504.306652,1760462434.119510,115111.333,15778,9,PG,1,100,7479
1032504.316988,1032504.316986,1760462434.129844,115121.667,15778,9,PG,1,100,7477
1032504.327322,1032504.327320,1760462434.140178,115132.000,15778,9,PG,1,100,7460
1032504.337656,1032504.337654,1760462434.150513,115142.333,15778,9,PG,1,100,7509
1032504.347990,1032504.347988,1760462434.160847,115152.667,15778,9,PG,1,100,7493
1032504.358324,1032504.358323,1760462434.171181,115163.000,15778,9,PG,1,100,7479
1032504.369025,1032504.369023,1760462434.181882,115173.700,15792,10,PG,1,100,7481
1032504.379726,1032504.379724,1760462434.192583,115184.400,15792,10,PG,1,100,7464
1032504.390427,1032504.390425,1760462434.203283,115195.100,15792,10,PG,1,100,7478
1032504.401128,1032504.401126,1760462434.213984,115205.800,15792,10,PG,1,100,7484
1032504.411828,1032504.411827,1760462434.224685,115216.500,15792,10,PG,1,100,7516
1032504.422529,1032504.422527,1760462434.235386,115227.200,15792,10,PG,1,100,7509
1032504.433230,1032504.433228,1760462434.246087,115237.900,15792,10,PG,1,100,7479
1032504.443931,1032504.443929,1760462434.256788,115248.600,15792,10,PG,1,100,7518
1032504.454632,1032504.454630,1760462434.267488,115259.300,15792,10,PG,1,100,7487
1032504.465332,1032504.465331,1760462434.278189,115270.000,15792,10,PG,1,100,7488
1032504.474970,1032504.474968,1760462434.287826,115279.636,15811,11,PG,1,100,7489
1032504.484607,1032504.484605,1760462434.297463,115289.273,15811,11,PG,1,100,7478
1032504.494244,1032504.494242,1760462434.307101,115298.909,15811,11,PG,1,100,7489
1032504.503881,1032504.503879,1760462434.316738,115308.545,15811,11,PG,1,100,7487
1032504.513518,1032504.513516,1760462434.326375,115318.182,15811,11,PG,1,100,7502
1032504.523155,1032504.523153,1760462434.336012,115327.818,15811,11,PG,1,100,7498
1032504.532792,1032504.532790,1760462434.345649,115337.455,15811,11,PG,1,100,7504
1032504.542429,1032504.542427,1760462434.355286,115347.091,15811,11,PG,1,100,7523
1032504.552066,1032504.552064,1760462434.364923,115356.727,15811,11,PG,1,100,7503
