LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032513.357997,1032513.357995,1760462443.170876,124162.000,17211,3,GY,1,100,0.458
1032513.398000,1032513.397998,1760462443.210879,124202.000,17229,2,GY,1,100,0.916
1032513.438003,1032513.438001,1760462443.250882,124242.000,17229,2,GY,1,100,1.221
1032513.478340,1032513.478338,1760462443.291219,124282.333,17245,3,GY,1,100,-0.214
1032513.518676,1032513.518674,1760462443.331555,124322.667,17245,3,GY,1,100,1.343
1032513.559012,1032513.559011,1760462443.371891,124363.000,17245,3,GY,1,100,-0.824
1032513.599015,1032513.599014,1760462443.411895,124403.000,17260,3,GY,1,100,0.732
1032513.639018,1032513.639016,1760462443.451898,124443.000,17260,3,GY,1,100,-0.122
1032513.679021,1032513.679019,1760462443.491901,124483.000,17260,3,GY,1,100,1.801
1032513.718524,1032513.718522,1760462443.531404,124522.500,17275,2,GY,1,100,0.519
1032513.758027,1032513.758025,1760462443.570907,124562.000,17275,2,GY,1,100,-0.305
1032513.798030,1032513.798028,1760462443.610910,124602.000,17293,3,GY,1,100,0.214
1032513.838033,1032513.838031,1760462443.650913,124642.000,17293,3,GY,1,100,0.671
1032513.878036,1032513.878034,1760462443.690916,124682.000,17293,3,GY,1,100,0.488
1032513.918039,1032513.918037,1760462443.730919,124722.000,17310,2,GY,1,100,0.427
1032513.958042,1032513.958040,1760462443.770922,124762.000,17310,2,GY,1,100,0.061
1032513.998045,1032513.998043,1760462443.810925,124802.000,17327,3,GY,1,100,-0.458
1032514.038048,1032514.038046,1760462443.850928,124842.000,17327,3,GY,1,100,0.427
1032514.078051,1032514.078049,1760462443.890931,124882.000,17327,3,GY,1,100,1.434
1032514.118054,1032514.118052,1760462443.930934,124922.000,17343,2,GY,1,100,-0.549
1032514.158057,1032514.158055,1760462443.970938,124962.000,17343,2,GY,1,100,0.732
1032514.202727,1032514.202725,1760462444.015608,125006.667,17359,3,GY,1,100,0.031
1032514.247397,1032514.247395,1760462444.060278,125051.333,17359,3,GY,1,100,0.854
1032514.292067,1032514.292065,1760462444.104948,125096.000,17359,3,GY,1,100,0.366
1032514.332070,1032514.332068,1760462444.144951,125136.000,17374,2,GY,1,100,0.427
1032514.372073,1032514.372071,1760462444.184954,125176.000,17374,2,GY,1,100,-0.183
1032514.412076,1032514.412074,1760462444.224957,125216.000,17389,3,GY,1,100,1.312
1032514.452079,1032514.452077,1760462444.264960,125256.000,17389,3,GY,1,100,0.519
1032514.492082,1032514.492080,1760462444.304963,125296.000,17389,3,GY,1,100,0.336
1032514.531585,1032514.531583,1760462444.344466,125335.500,17405,2,GY,1,100,-0.916
1032514.571088,1032514.571086,1760462444.383970,125375.000,17405,2,GY,1,100,0.610
1032514.611091,1032514.611089,1760462444.423973,125415.000,17423,3,GY,1,100,0.183
1032514.651094,1032514.651092,1760462444.463976,125455.000,17423,3,GY,1,100,1.068
1032514.691097,1032514.691095,1760462444.503979,125495.000,17423,3,GY,1,100,-0.519
1032514.731100,1032514.731098,1760462444.543982,125535.000,17438,2,GY,1,100,0.336
1032514.771103,1032514.771101,1760462444.583985,125575.000,17438,2,GY,1,100,-0.366
1032514.811439,1032514.811437,1760462444.624321,125615.333,17458,3,GY,1,100,2.258
1032514.851776,1032514.851774,1760462444.664658,125655.667,17458,3,GY,1,100,-1.099
1032514.892112,1032514.892110,1760462444.704994,125696.000,17458,3,GY,1,100,0.305
1032514.931782,1032514.931780,1760462444.744664,125735.667,17472,3,GY,1,100,0.732
1032514.971451,1032514.971449,1760462444.784334,125775.333,17472,3,GY,1,100,0.885
1032515.011121,1032515.011119,1760462444.824003,125815.000,17472,3,GY,1,100,0.244
1032515.051124,1032515.051122,1760462444.864007,125855.000,17488,2,GY,1,100,-0.427
